   No. ,   Al2O3 ,   MgO   ,   MnO   ,   CaO   ,   TiO2  ,   SiO2  ,   FeO   ,   Cr2O3 ,  Total  ,Comment  ,,Location,Sample
89,0.7138,3.79,,0.0202,1.95,0.0456,88.97,0.8556,96.3453,mrwy12_oxide_16 ,,HM,MRWY12
90,0.5002,3.86,,0.0079,3.02,0.0483,88.14,0.8576,96.4341,mrwy12_oxide_17 ,,HM,MRWY12
91,0.3356,4.83,,0.0121,3.84,0.0273,87.36,0.8795,97.2845,mrwy12_oxide_18 ,,HM,MRWY12
92,0.3942,4.59,,0.0168,4.77,0.0167,86.46,0.8483,97.0961,mrwy12_oxide_19 ,,HM,MRWY12
93,0.416,4.04,,0,3.08,0.0296,88.12,0.8142,96.4999,mrwy12_oxide_20 ,,HM,MRWY12
94,0.3612,4.85,,0.0135,7,0.0324,83.24,0.873,96.3701,mrwy12_oxide_21 ,,HM,MRWY12
95,0.6292,3.59,,0.0142,1.248,0.0159,90.4,0.8098,96.7072,mrwy12_oxide_22 ,,HM,MRWY12
96,0.6723,3.66,,0.0218,1.83,0.0132,89.44,0.8072,96.4446,mrwy12_oxide_23 ,,HM,MRWY12
97,0.5701,3.64,,0.0022,2.13,0.0157,88.93,0.8378,96.1259,mrwy12_oxide_24 ,,HM,MRWY12
98,0.518,3.62,,0.0076,1.5798,0.0263,89.96,0.8122,96.524,mrwy12_oxide_25 ,,HM,MRWY12
99,0.4811,3.74,,0.0071,2.02,0.0445,89.63,0.8346,96.7573,mrwy12_oxide_26 ,,HM,MRWY12
100,0.0503,13,,0.0806,53.46,0.0107,33.13,0.0482,99.7799,mrwy12_oxide_line Line 001 ,,HM,MRWY12
101,0.0562,14.45,,0.0496,51.95,0.0161,32.83,0.0669,99.4189,mrwy12_oxide_line Line 002 ,,HM,MRWY12
102,0.0596,11.81,,0.0392,51.33,0,35.84,0.0541,99.133,mrwy12_oxide_line Line 003 ,,HM,MRWY12
103,0.0907,9.59,,0.0237,50.96,0.0155,38.01,0.046,98.736,mrwy12_oxide_line Line 004 ,,HM,MRWY12
