   No. ,   MgO   ,   SiO2  ,   Na2O  ,   Al2O3 ,   Cr2O3 ,   MnO   ,   CaO   ,   TiO2  ,   NiO   ,   FeO   ,K2O,  Total  ,Comment  ,Location,Sample,Type,   Mg,   Si,   Na,   Al,   Cr,   Mn,   Ca,   Ti,   Ni,   Fe,K,Mg #,Mg,Fe,Ca
153,8.664,47.811,0.242,5.13,0,0.38,23.03,0.454,0.007,13.741,,99.459,mrwy47_cpx6_1 Line 013 ,STM,MRWY47,Cumul,0.499906801,1.850525057,0.018160155,0.234008712,0,0.012457461,0.955053979,0.013219594,0.000217943,0.444781369,0,0.529176523,26.31445544,23.41272311,50.27282145
154,9.056,48.073,0.209,4.741,0,0.371,22.9,0.443,0.026,13.298,,99.117,mrwy47_cpx6_1 Line 014 ,STM,MRWY47,Cumul,0.522963351,1.862226947,0.015696929,0.216445647,0,0.012172621,0.950459687,0.012910118,0.000810181,0.430803095,0,0.548313848,27.46330079,22.62352606,49.91317315
155,11.624,50.445,0.183,2.916,0.017,0.325,23.098,0.29,0.032,10.306,,99.236,mrwy47_cpx6_1 Line 015 ,STM,MRWY47,Cumul,0.659396675,1.919578242,0.013501307,0.130774398,0.000511453,0.010474899,0.941735424,0.008301963,0.000979524,0.327973637,0,0.667831174,34.18146879,17.00133024,48.81720097
156,12.318,51.294,0.174,2.53,0.009,0.321,23.091,0.241,0.011,9.775,,99.764,mrwy47_cpx6_1 Line 016 ,STM,MRWY47,Cumul,0.692239592,1.933656572,0.012717421,0.112403754,0.000268241,0.010249357,0.93265786,0.006834786,0.000333567,0.308170205,0,0.691956031,35.81041716,15.94202892,48.24755392
157,12.948,51.702,0.154,2.235,0.009,0.319,23.037,0.208,0.004,9.135,,99.751,mrwy47_cpx6_1 Line 017 ,STM,MRWY47,Cumul,0.72507366,1.942152474,0.01121589,0.098946634,0.000267293,0.010149519,0.92719,0.005878066,0.000120869,0.286976038,0,0.716440765,37.38958423,14.7983789,47.81203688
158,12.603,51.578,0.171,2.5,0.009,0.306,22.954,0.274,0.008,9.347,,99.75,mrwy47_cpx6_1 Line 018 ,STM,MRWY47,Cumul,0.70618501,1.938677622,0.012461613,0.110746147,0.000267456,0.009741847,0.924413575,0.007747949,0.000241885,0.293815327,0,0.706184772,36.69610814,15.26778232,48.03610953
159,12.359,51.215,0.177,2.653,0.017,0.346,23.049,0.275,0,9.581,,99.672,mrwy47_cpx6_1 Line 019 ,STM,MRWY47,Cumul,0.69459082,1.930809491,0.012937565,0.117876441,0.000506711,0.011048343,0.931024636,0.007799559,0,0.302074589,0,0.696914746,36.03228754,15.67028836,48.2974241
160,12.331,51.254,0.163,2.677,0,0.34,23.087,0.283,0,9.668,,99.803,mrwy47_cpx6_1 Line 020 ,STM,MRWY47,Cumul,0.692297784,1.930273948,0.011901887,0.118819323,0,0.010845483,0.931591517,0.008018123,0,0.304501146,0,0.694520994,35.90029111,15.79043012,48.30927877
161,12.34,51.221,0.163,2.68,0.021,0.327,23.003,0.295,0,9.588,,99.638,mrwy47_cpx6_1 Line 021 ,STM,MRWY47,Cumul,0.693552863,1.931118851,0.011914768,0.119081217,0.000625964,0.010442092,0.92920656,0.00836716,0,0.302308307,0,0.696435291,36.02745257,15.70377509,48.26877234
162,12.251,51.025,0.185,2.752,0,0.325,23.007,0.307,0.031,9.744,,99.627,mrwy47_cpx6_1 Line 022 ,STM,MRWY47,Cumul,0.689525272,1.926452046,0.013542036,0.122453482,0,0.010392914,0.930683511,0.008719843,0.000941487,0.307661795,0,0.691470332,35.76615983,15.95863325,48.27520692
163,12.048,50.934,0.164,2.871,0.005,0.314,23.045,0.335,0,9.916,,99.632,mrwy47_cpx6_1 Line 023 ,STM,MRWY47,Cumul,0.678510707,1.924181661,0.012012107,0.127825941,0.000149341,0.010047239,0.932785609,0.009520904,0,0.313282337,0,0.684125293,35.25502612,16.27797008,48.4670038
164,11.921,50.748,0.166,2.962,0,0.318,23.198,0.337,0,10.103,,99.753,mrwy47_cpx6_1 Line 024 ,STM,MRWY47,Cumul,0.671687138,1.91809369,0.012164549,0.13194212,0,0.010180211,0.939438311,0.009582435,0,0.319346634,0,0.677764126,34.79393171,16.54241142,48.66365687
