   No. ,   MgO   ,   SiO2  ,   Na2O  ,   Al2O3 ,   Cr2O3 ,   MnO   ,   CaO   ,   TiO2  ,   NiO   ,   FeO   ,K2O,  Total  ,Comment  ,Location,Sample,Type,   Mg,   Si,   Na,   Al,   Cr,   Mn,   Ca,   Ti,   Ni,   Fe,K,Mg #,Mg,Fe,Ca
229,12.115,51.803,0.167,2.216,0,0.315,23.724,0.204,0.002,9.975,,100.521,mrwy47_cpx8_1 Line2 Line 001 ,STM,MRWY47,Cumul,0.676917424,1.941617719,0.01213563,0.097887242,0,0.009999958,0.95271624,0.005752202,6.03E-05,0.31266756,0,0.684041729,34.85131016,16.09778938,49.05090046
230,12.07,51.667,0.155,2.232,0,0.308,23.651,0.223,0,10.047,,100.353,mrwy47_cpx8_1 Line2 Line 002 ,STM,MRWY47,Cumul,0.675751285,1.940391646,0.011286126,0.098791109,0,0.009797283,0.951683405,0.006300516,0,0.315553977,0,0.681678299,34.77896172,16.24064939,48.98038889
231,11.474,51.527,0.157,2.303,0,0.338,23.702,0.215,0.03,10.721,,100.467,mrwy47_cpx8_1 Line2 Line 003 ,STM,MRWY47,Cumul,0.643936263,1.939811081,0.011459384,0.102180032,0,0.010777551,0.956040762,0.006089171,0.000908497,0.337536684,0,0.656091709,33.23518486,17.42112493,49.34369021
232,10.911,51.135,0.151,2.445,0,0.38,23.698,0.217,0.009,11.329,,100.275,mrwy47_cpx8_1 Line2 Line 004 ,STM,MRWY47,Cumul,0.615631772,1.93540238,0.011080695,0.10906349,0,0.01218191,0.961018046,0.006178853,0.000274014,0.358596208,0,0.631917564,31.81155077,18.52974778,49.65870144
233,10.698,50.822,0.155,2.563,0.011,0.364,23.677,0.231,0,11.645,,100.166,mrwy47_cpx8_1 Line2 Line 005 ,STM,MRWY47,Cumul,0.605431427,1.929348402,0.011408476,0.114671378,0.000330157,0.011704129,0.963057947,0.006597296,0,0.36970856,0,0.620866168,31.23682138,19.0748609,49.68831772
234,10.49,50.737,0.169,2.713,0.002,0.391,23.689,0.233,0,11.738,,100.162,mrwy47_cpx8_1 Line2 Line 006 ,STM,MRWY47,Cumul,0.594018994,1.927286012,0.012446439,0.121455923,6.01E-05,0.012579893,0.964128565,0.006658439,0,0.372886444,0,0.61435066,30.76170556,19.31019564,49.92809881
235,10.046,50.089,0.195,3.033,0,0.363,23.544,0.246,0.013,12.386,,99.915,mrwy47_cpx8_1 Line2 Line 007 ,STM,MRWY47,Cumul,0.572415278,1.914506939,0.014450612,0.136626365,0,0.011751681,0.964187885,0.00707367,0.000399701,0.395919383,0,0.591133728,29.62010865,20.48718056,49.89271079
236,9.51,49.564,0.294,3.284,0.019,0.385,23.565,0.261,0,12.913,,99.795,mrwy47_cpx8_1 Line2 Line 008 ,STM,MRWY47,Cumul,0.544625016,1.904057057,0.021897674,0.148684014,0.000577081,0.012527175,0.969946749,0.007543089,0,0.41486029,0,0.56762205,28.22721925,21.50167914,50.27110161
237,9.259,49.222,0.236,3.492,0.016,0.365,23.593,0.295,0.028,13.245,,99.751,mrwy47_cpx8_1 Line2 Line 009 ,STM,MRWY47,Cumul,0.531563837,1.895601924,0.017621259,0.158492837,0.000487166,0.011905826,0.973504335,0.008546829,0.000867408,0.426580454,0,0.554784746,27.518661,22.08375003,50.39758897
238,11.565,51.215,0.183,2.309,0.011,0.358,23.429,0.226,0,10.575,,99.871,mrwy47_cpx8_1 Line2 Line 010 ,STM,MRWY47,Cumul,0.652501682,1.938338922,0.013428289,0.102992118,0.000329151,0.011476101,0.950064585,0.006434815,0,0.33471411,0,0.660951423,33.68132409,17.27752544,49.04115047
239,12.267,51.845,0.143,1.874,0.003,0.359,23.378,0.241,0.017,9.835,,99.962,mrwy47_cpx8_1 Line2 Line 011 ,STM,MRWY47,Cumul,0.688405522,1.951683543,0.010436998,0.083141839,8.93E-05,0.01144658,0.94292405,0.006825189,0.000514789,0.309626405,0,0.689763026,35.46734343,15.95226315,48.58039343
240,12.038,51.814,0.153,2.097,0.012,0.347,23.473,0.246,0,10.263,,100.443,mrwy47_cpx8_1 Line2 Line 012 ,STM,MRWY47,Cumul,0.673632974,1.944968895,0.011135097,0.09277084,0.000356136,0.011032497,0.944062997,0.006946975,0,0.322181778,0,0.676464144,34.72553744,16.60835472,48.66610784
241,11.702,51.517,0.149,2.319,0.015,0.355,23.478,0.236,0.012,10.686,,100.469,mrwy47_cpx8_1 Line2 Line 013 ,STM,MRWY47,Cumul,0.656235965,1.937969955,0.010867253,0.102812221,0.000446126,0.011311068,0.946290349,0.006678879,0.000363124,0.336180679,0,0.661250463,33.84915653,17.34045837,48.8103851
242,11.978,51.465,0.168,2.3,0.027,0.332,23.164,0.291,0.007,10.361,,100.093,mrwy47_cpx8_1 Line2 Line 014 ,STM,MRWY47,Cumul,0.672736458,1.938961445,0.012271666,0.102125113,0.000804249,0.010594344,0.935055933,0.008247936,0.000212145,0.326452482,0,0.67328253,34.78031491,16.8775157,48.34216939
243,11.73,50.959,0.207,2.856,0.042,0.305,23.029,0.544,0.007,10.581,,100.26,mrwy47_cpx8_1 Line2 Line 015 ,STM,MRWY47,Cumul,0.658584635,1.91924766,0.015115326,0.126769812,0.00125063,0.00972946,0.929291661,0.015413602,0.000212073,0.333271321,0,0.663992217,34.28079285,17.34751238,48.37169478
244,11.205,50.438,0.232,3.323,0.026,0.313,22.978,0.688,0,11.16,,100.363,mrwy47_cpx8_1 Line2 Line 016 ,STM,MRWY47,Cumul,0.630479345,1.903765273,0.016977767,0.14782007,0.000775887,0.010006419,0.929254357,0.019536155,0,0.352274205,0,0.641543697,32.97472478,18.4243069,48.60096832
245,10.074,49.034,0.247,4.269,0.011,0.32,22.765,1.017,0.009,12.042,,99.788,mrwy47_cpx8_1 Line2 Line 017 ,STM,MRWY47,Cumul,0.573359433,1.872056187,0.018283341,0.192085786,0.000332035,0.010347855,0.931228049,0.029210408,0.000276402,0.384486667,0,0.598592439,30.3513461,20.35318028,49.29547362
1,13.34,51.82,0.8597,3,0.0518,0.2563,22.79,0.3414,0.0077,7.81,,100.2769,mrwy12_cpx1,HM,MRWY12,Lava,0.73922472,1.926258647,0.061958538,0.131427415,0.001522357,0.008069462,0.907670781,0.009547196,0.000230242,0.242789182,0,0.752764007,39.11894542,12.84813197,48.03292261
3,17.04,54.16,0.3931,0.2699,0.0108,0.1077,24.7,0.6039,0.0587,2.96,,100.3041,mrwy12_cpx2 Line 002,HM,MRWY12,Lava,0.926075375,1.974476378,0.02778519,0.011596413,0.000311291,0.003325583,0.964799517,0.016562787,0.001721428,0.090245614,0,0.911203631,46.74503001,4.555281391,48.6996886
4,12.97,52.19,0.6107,1.92,0,0.4045,22.7,0.1848,0.0417,8.92,,99.9417,mrwy12_cpx2 Line 003,HM,MRWY12,Lava,0.724441776,1.955452848,0.044363419,0.084783004,0,0.012836818,0.911281904,0.005209033,0.001256822,0.279502702,0,0.721595458,37.82538622,14.59371617,47.58089761
5,12.69,51.94,0.6006,2.11,0.0096,0.3416,22.5,0.2267,0.0218,9.33,,99.7703,mrwy12_cpx2 Line 004,HM,MRWY12,Lava,0.710833454,1.951662525,0.043754744,0.093439983,0.000285196,0.010871749,0.905841333,0.006408397,0.000658926,0.293187552,0,0.707986636,37.21909374,15.35124001,47.42966625
6,13.46,51.41,0.6967,2.05,0.0019,0.4027,21.43,0.2633,0.0391,9.79,,99.5437,mrwy12_cpx2 Line 005,HM,MRWY12,Lava,0.756690826,1.938730995,0.05093928,0.091111108,5.66E-05,0.012862648,0.865882492,0.00746992,0.001186108,0.30875482,0,0.710210632,39.17981678,15.98665779,44.83352542
7,12.69,51.98,0.6255,2.18,0.0042,0.3706,22.64,0.2426,0.054,9.32,,100.1069,mrwy12_cpx2 Line 006,HM,MRWY12,Lava,0.70889115,1.947828645,0.045444238,0.096276099,0.000124432,0.011762474,0.908987128,0.006839123,0.001627743,0.292073053,0,0.708208293,37.11566564,15.29217255,47.59216181
8,12.79,51.85,0.6694,2.14,0.0219,0.3559,22.57,0.2616,0.0392,9.23,,99.928,mrwy12_cpx2 Line 007,HM,MRWY12,Lava,0.715657907,1.946167568,0.048714048,0.094665724,0.000649898,0.011314575,0.90767394,0.007386936,0.001183573,0.28973054,0,0.71182229,37.40902082,15.14485582,47.44612336
9,13,51.72,0.6094,2.11,0.009,0.3781,21.56,0.2326,0.0395,9.98,,99.6386,mrwy12_cpx2 Line 008,HM,MRWY12,Lava,0.729933319,1.948026646,0.044501625,0.093662631,0.000268008,0.01206207,0.870065545,0.006590847,0.001196771,0.314360538,0,0.698973104,38.12937729,16.42118703,45.44943568
10,12.87,51.94,0.6537,2.12,0.0332,0.3736,22.5,0.2165,0.0469,9.14,,99.8939,mrwy12_cpx2 Line 009,HM,MRWY12,Lava,0.719840909,1.948751506,0.047552138,0.093742795,0.000984832,0.011872445,0.904490217,0.006110933,0.001415484,0.286788557,0,0.715100177,37.66592513,15.00631068,47.32776419
11,13.8,52.06,0.6904,1.8077,0.0105,0.4644,20.01,0.187,0.0254,11.16,,100.2154,mrwy12_cpx2 Line 010,HM,MRWY12,Lava,0.771280425,1.951793771,0.050184267,0.07987367,0.000311235,0.014746901,0.803792019,0.00527432,0.000766022,0.34990896,0,0.687912707,40.06690264,18.17726442,41.75583294
12,13.82,52.55,0.6637,1.7143,0,0.3715,22.05,0.15,0.0303,8.73,,100.0798,mrwy12_cpx2 Line 011,HM,MRWY12,Lava,0.768415504,1.960005713,0.047994721,0.075356195,0,0.011736057,0.881170701,0.004208923,0.000909086,0.272307727,0,0.738347604,39.98220148,14.16871778,45.84908073
13,15.81,52.93,1.46,0.189,0.3167,0.1123,21.72,1.1079,0.0545,4.94,,98.6404,mrwy12_cpx2 Line 012,HM,MRWY12,Lava,0.879633204,1.975459724,0.10564676,0.008313341,0.009345097,0.003549971,0.868546239,0.031107274,0.001636215,0.154189337,0,0.850855122,46.23883726,8.105123367,45.65603937
14,14.63,52.01,0.7734,2.63,0.0351,0.352,18,0.2862,0,11.3,,100.0167,mrwy12_cpx1(2),HM,MRWY12,Lava,0.814119532,1.941454617,0.055973388,0.115702743,0.001035898,0.011129146,0.719912529,0.008037207,0,0.35276049,0,0.697689151,43.14833295,18.69630502,38.15536203
15,13.4,51.91,0.7764,2.87,0.0381,0.265,21.76,0.3195,0.0128,8.67,,100.0218,mrwy12_cpx1(3),HM,MRWY12,Lava,0.744686657,1.935157617,0.056116152,0.12609409,0.001122948,0.008367389,0.869142613,0.00896048,0.000383842,0.270299671,0,0.733691318,39.52418758,14.34613445,46.12967797
16,13.23,51.78,0.8521,2.97,0.059,0.2359,22.74,0.3581,0.0074,7.68,,99.9125,mrwy12_cpx1(4),HM,MRWY12,Lava,0.735181191,1.930159195,0.061582695,0.130477327,0.001738812,0.007447968,0.908214396,0.010042238,0.000221891,0.239416131,0,0.754343537,39.04698401,12.7158828,48.2371332
17,13.68,52.49,0.8205,2.48,0.0473,0.2215,22.8,0.2891,0.0206,7.37,,100.219,mrwy12_cpx3,HM,MRWY12,Lava,0.756055139,1.945989469,0.058976574,0.108358532,0.001386419,0.006955309,0.905660856,0.008063194,0.00061434,0.228503316,0,0.767912901,39.99827609,12.08871977,47.91300413
18,13.78,52.35,0.7739,2.36,0.0444,0.2756,22.75,0.276,0.0119,7.39,,100.0118,mrwy12_cpx3(2),HM,MRWY12,Lava,0.763513328,1.945721295,0.055768098,0.103376891,0.001304717,0.008676048,0.905966595,0.007717349,0.000355786,0.229704493,0,0.768726972,40.20216899,12.09490194,47.70292908
19,13.59,51.74,0.9748,2.78,0.0795,0.2568,21.72,0.3373,0.0061,8.21,,99.6945,mrwy12_cpx4(1),HM,MRWY12,Lava,0.757068566,1.93347572,0.07062604,0.122434726,0.002348815,0.008128045,0.869638898,0.00948252,0.000183366,0.256576313,0,0.746877512,40.1993887,13.62387955,46.17673175
20,13.59,52.15,0.7988,2.52,0.0418,0.2505,22.78,0.2837,0.0109,7.6,,100.0257,mrwy12_cpx4(2),HM,MRWY12,Lava,0.753836041,1.940476082,0.057627407,0.110510118,0.001229702,0.007894789,0.908185447,0.007941608,0.000326256,0.236498657,0,0.761193203,39.70650734,12.45700013,47.83649253
21,13.17,51.92,0.8391,2.84,0.0712,0.2452,22.81,0.3465,0,7.85,,100.092,mrwy12_cpx4(3),HM,MRWY12,Lava,0.73110101,1.933404984,0.060581345,0.124639015,0.002096224,0.007733702,0.910081472,0.009707033,0,0.244466251,0,0.749411178,38.77185594,12.96457004,48.26357402
22,14.12,52.11,0.7586,2.43,0.0442,0.2732,21.01,0.2958,0,9.24,,100.2818,mrwy12_cpx4(4),HM,MRWY12,Lava,0.783144679,1.938763874,0.054720962,0.106551026,0.001300156,0.008609211,0.837522987,0.008279367,0,0.287499386,0,0.731470621,41.04172526,15.06678286,43.89149188
23,13.87,52.48,0.7176,2.27,0.0544,0.2389,22.67,0.2578,0,7.59,,100.1487,mrwy12_cpx4(5),HM,MRWY12,Lava,0.767521289,1.948069005,0.051645202,0.09930792,0.001596537,0.007511133,0.901631067,0.007199271,0,0.235620672,0,0.76511732,40.29463233,12.37001306,47.3353546
25,16.31,54.02,0.3842,0.1876,0.0109,0.1154,24.52,0.6006,0.0087,3.86,,100.0174,mrwy12_cpx5 line Line 001,HM,MRWY12,Lava,0.891826708,1.981424981,0.027322313,0.008109674,0.000316096,0.003585153,0.963630101,0.01657309,0.000256696,0.118405388,0,0.882793877,45.18181207,5.998665349,48.81952258
26,14.22,52.75,0.4375,0.7916,0.0272,0.1821,23.64,0.7607,0.0132,7.07,,99.8923,mrwy12_cpx5 line Line 002,HM,MRWY12,Lava,0.789487522,1.964557202,0.031590559,0.034745256,0.000800904,0.005744219,0.943314531,0.021313302,0.000395452,0.220202748,0,0.781910597,40.42424892,11.27507457,48.30067652
27,14.5,52.88,0.4365,0.6715,0.0308,0.1572,23.75,0.7101,0.0057,6.64,,99.7818,mrwy12_cpx5 line Line 003,HM,MRWY12,Lava,0.804416903,1.967891604,0.031494231,0.029451218,0.000906212,0.00495497,0.946978628,0.019880365,0.000170633,0.206651666,0,0.795610632,41.08261047,10.55396756,48.36342197
28,14.98,53.08,0.5567,0.5378,0.0109,0.1444,23.76,0.6797,0.0283,6.21,,99.9878,mrwy12_cpx5 line Line 004,HM,MRWY12,Lava,0.828042303,1.96819519,0.040021698,0.02350204,0.000319546,0.004535062,0.943953336,0.018960493,0.000844114,0.192570588,0,0.811318679,42.14886173,9.802193768,48.0489445
29,15.76,53.61,0.3822,0.4174,0.0097,0.1593,23.92,0.6228,0.0167,5.41,,100.3081,mrwy12_cpx5 line Line 005,HM,MRWY12,Lava,0.864429992,1.972495229,0.027264521,0.018099648,0.00028217,0.004964377,0.942970631,0.017239072,0.00049427,0.166467142,0,0.838522063,43.79371337,8.433550883,47.77273574
30,16.13,53.81,0.3588,0.3945,0.0229,0.1235,23.91,0.6108,0.0071,4.68,,100.0476,mrwy12_cpx5 line Line 006,HM,MRWY12,Lava,0.883495859,1.977104769,0.025559724,0.017082885,0.00066523,0.003843372,0.94126759,0.016883436,0.000209847,0.143804889,0,0.860016759,44.88012135,7.30504935,47.8148293
31,16.51,54.06,0.365,0.3597,0.0008,0.1201,23.91,0.5574,0.0162,4.22,,100.1192,mrwy12_cpx5 line Line 007,HM,MRWY12,Lava,0.901416391,1.979935123,0.025918199,0.015526118,2.32E-05,0.003725604,0.938255961,0.015358083,0.000477274,0.129255334,0,0.874591171,45.78209741,6.564757813,47.65314478
32,16.78,54.06,0.3479,0.3272,0.0361,0.1121,24.19,0.509,0.0068,3.75,,100.1191,mrwy12_cpx5 line Line 008,HM,MRWY12,Lava,0.915095949,1.977640096,0.024675314,0.014106914,0.001044114,0.003473407,0.948143175,0.014008257,0.000200105,0.114726459,0,0.88859588,46.26450313,5.800225249,47.93527162
33,15.12,52.74,0.3672,0.992,0.1114,0.1407,23.77,0.7385,0,6.04,,100.0198,mrwy12_cpx5 line Line 009,HM,MRWY12,Lava,0.834758292,1.953195059,0.026366058,0.043297686,0.003261821,0.004413452,0.943195045,0.020575533,0,0.187069737,0,0.816926399,42.48083918,9.519976597,47.99918422
34,14.71,52.45,0.3898,1.1473,0.2899,0.1267,23.57,0.8103,0.0177,6.58,,100.0917,mrwy12_cpx5 line Line 010,HM,MRWY12,Lava,0.813807111,1.946484013,0.028046858,0.050179908,0.008505954,0.003982546,0.937198896,0.022622797,0.000528392,0.204217214,0,0.799398493,41.62220978,10.44470073,47.93308949
35,15.54,53.22,0.4381,0.6326,0.1163,0.1432,23.75,0.566,0,5.6,,100.0062,mrwy12_cpx5 line Line 011,HM,MRWY12,Lava,0.855946465,1.966377968,0.031383576,0.027546653,0.003397358,0.004481402,0.940205053,0.015732715,0,0.17303791,0,0.831836212,43.46694397,8.787265851,47.74579018
37,15.54,53.36,0.5315,0.6379,0.0239,0.1649,23.45,0.5746,0.0151,5.9,,100.1979,mrwy12_cpx5 line Line 013,HM,MRWY12,Lava,0.854666197,1.968601786,0.038017396,0.027735894,0.000697123,0.005152779,0.926940245,0.015947874,0.000448122,0.182035114,0,0.824409295,43.52455234,9.270282227,47.20516543
38,15.59,53.7,0.8971,0.6435,0,0.2866,21.16,0.4031,0.0196,7.48,,100.1799,mrwy12_cpx5 line Line 014,HM,MRWY12,Lava,0.858435202,1.983500116,0.064244483,0.028012638,0,0.008966293,0.83741444,0.011201234,0.00058236,0.231057807,0,0.787921717,44.54989277,11.99112117,43.45898606
39,15.07,52.99,0.3329,0.7366,0.1211,0.1077,23.75,0.6592,0.0228,6.13,,99.9203,mrwy12_cpx5 line Line 015,HM,MRWY12,Lava,0.832629339,1.963943177,0.023921358,0.03217468,0.003548531,0.003380878,0.943116732,0.018380076,0.000679747,0.190001302,0,0.814203394,42.35688421,9.665601236,47.97751455
40,15.64,53.89,1.41,0.6184,0.0261,0.1269,22.25,0.9916,0,4.45,,99.403,mrwy12_cpx5 line Line 016,HM,MRWY12,Lava,0.85956572,1.986767573,0.100784799,0.026869271,0.000760762,0.003962591,0.878892447,0.027502395,0,0.137201859,0,0.862353209,45.8273732,7.314857543,46.85776926
41,16.38,54.02,0.5229,0.3402,0.0376,0.1227,23.78,0.6189,0.0364,4.4,,100.2587,mrwy12_cpx5 line Line 017,HM,MRWY12,Lava,0.894260356,1.978341228,0.037128064,0.014683462,0.001088689,0.00380601,0.933093812,0.017051485,0.001072323,0.134759814,0,0.869040649,45.5763714,6.868093052,47.55553554
42,15.8,53.53,0.7844,0.4121,0.0351,0.1442,23.75,0.6209,0.0287,5.02,,100.1254,mrwy12_cpx5 line Line 018,HM,MRWY12,Lava,0.867709549,1.972018905,0.05602585,0.017892209,0.001022328,0.004499434,0.93744173,0.017208008,0.000850498,0.15466023,0,0.848723785,44.27515323,7.891587007,47.83325976
44,13.47,53.06,3.67,0.2236,0.001,0.1172,18.16,1.96,0.0298,8.12,,98.8116,mrwy12_cpx5 line Line 020,HM,MRWY12,Lava,0.755492314,1.996301996,0.267708462,0.009914671,2.97E-05,0.003734783,0.732051571,0.055476644,0.000901888,0.255491308,0,0.747284424,43.34349167,14.6578399,41.99866843
45,16.75,54.05,0.4367,0.2994,0.0141,0.089,24.41,0.6158,0,3.34,,100.005,mrwy12_cpx6,HM,MRWY12,Lava,0.913601295,1.977580332,0.030978378,0.012910342,0.000407875,0.002758082,0.956914318,0.016950138,0,0.10219885,0,0.89939079,46.3118871,5.180620494,48.5074924
47,13.46,53.05,0.9311,1.4517,0,0.5143,22.32,0.0957,0.0074,8.2,,100.0302,mrwy12_cpx8,HM,MRWY12,Lava,0.747816877,1.977115914,0.06727909,0.063763352,0,0.016234617,0.891266886,0.002683205,0.000221848,0.255576961,0,0.745287492,39.4696986,13.48932594,47.04097546
48,13.64,53.23,0.894,1.4123,0.0112,0.4973,22.37,0.117,0,8.08,,100.2518,mrwy12_cpx8.2,HM,MRWY12,Lava,0.755466834,1.977670975,0.064397963,0.061840366,0.000328992,0.015649297,0.890492765,0.003270232,0,0.251055673,0,0.750571228,39.82397218,13.23424628,46.94178155
49,13.45,53.03,0.8987,1.6021,0,0.513,22.19,0.172,0.0163,8.41,,100.2821,mrwy12_cpx8.3,HM,MRWY12,Lava,0.745701449,1.97224503,0.06480239,0.070222515,0,0.016159778,0.884226208,0.004812412,0.000487646,0.261575066,0,0.740314539,39.4237576,13.82895532,46.74728708
50,13.44,52.82,0.8821,1.6508,0,0.5446,21.96,0.1679,0,8.77,,100.2354,mrwy12_cpx8.4,HM,MRWY12,Lava,0.746548163,1.968128727,0.063725018,0.072493169,0,0.017187453,0.876706602,0.004706531,0,0.273285004,0,0.732029696,39.36369674,14.40966379,46.22663947
51,13.33,52.83,0.9002,1.5158,0.014,0.5432,22.17,0.1338,0,8.5,,99.937,mrwy12_cpx8.5,HM,MRWY12,Lava,0.74229013,1.973425284,0.065195276,0.066731287,0.000413464,0.017186151,0.887304345,0.00376003,0,0.265533982,0,0.736527457,39.16832801,14.01139754,46.82027445
52,13.57,52.91,1.0062,1.3851,0,0.5596,21.63,0.1378,0,8.66,,99.8587,mrwy12_cpx8.6,HM,MRWY12,Lava,0.755899316,1.977053433,0.072895715,0.060997115,0,0.017710758,0.865972304,0.003873691,0,0.270619846,0,0.736371364,39.94201979,14.29966004,45.75832017
53,13.64,53.08,1.0469,1.796,0.0027,0.5761,21.75,0.1818,0.0109,8.44,,100.5244,mrwy12_cpx8.7,HM,MRWY12,Lava,0.753943746,1.968122053,0.075259851,0.078482886,7.92E-05,0.018092467,0.864066589,0.005071193,0.000325106,0.26171262,0,0.742321686,40.10930143,13.92293579,45.96776278
54,16.06,54.14,0.5179,0.2887,0,0.1424,24.27,0.5679,0,4.36,,100.3469,mrwy12_cpx8.8,HM,MRWY12,Lava,0.876657887,1.982437004,0.0367675,0.012458778,0,0.004416415,0.952177156,0.015644011,0,0.133514594,0,0.867829904,44.6738884,6.803812696,48.5222989
55,17.11,54.19,0.3639,0.4395,0.021,0.0778,24.15,0.6849,0.0338,3.09,,100.1609,mrwy12_cpx8.9,HM,MRWY12,Lava,0.92963164,1.975043107,0.025714408,0.018878341,0.000605126,0.002401684,0.943064508,0.018779313,0.00099095,0.094183974,0,0.908006898,47.26427552,4.788495914,47.94722857
56,16.87,54.17,0.3483,0.2813,0,0.1115,24.51,0.5151,0.0158,3.17,,99.992,mrwy12_cpx8.10,HM,MRWY12,Lava,0.919419321,1.98040457,0.024687982,0.012120271,0,0.00345262,0.960075159,0.014167126,0.000464654,0.096920457,0,0.904637741,46.5195493,4.903851656,48.57659904
57,16.1,54.1,0.4787,0.3505,0.021,0.1199,24.19,0.6522,0,4.14,,100.1523,mrwy12_cpx8.11,HM,MRWY12,Lava,0.879303557,1.982014192,0.034002431,0.015133697,0.000608273,0.003720553,0.949537674,0.017975683,0,0.126844296,0,0.87393076,44.96139818,6.485924953,48.55267686
58,16.13,54.03,0.4822,0.3639,0.0033,0.1023,24.19,0.617,0.0151,4.16,,100.0938,mrwy12_cpx8.12,HM,MRWY12,Lava,0.881632058,1.981000179,0.034277867,0.015724582,9.57E-05,0.003176903,0.950281453,0.017018835,0.000445353,0.127556908,0,0.873604536,44.99338441,6.509764406,48.49685118
59,17.14,54.54,0.3425,0.3726,0.0676,0.0635,24.26,0.5759,0.0152,2.82,,100.1973,mrwy12_cpx8.13,HM,MRWY12,Lava,0.929218572,1.983438496,0.024149115,0.015969598,0.001943658,0.001955943,0.945281674,0.015755994,0.000444657,0.085765736,0,0.915500432,47.40267802,4.375209109,48.22211287
60,17.54,54.63,0.2668,0.2716,0.065,0.0826,24.4,0.484,0.0068,2.49,,100.2368,mrwy12_cpx8.14,HM,MRWY12,Lava,0.949370736,1.983508168,0.0187813,0.011621979,0.001865888,0.002540163,0.949203775,0.01322036,0.000198605,0.075607216,0,0.926235276,48.08932854,3.829800197,48.08087127
61,13.79,53.37,0.8672,1.2603,0,0.5097,22.36,0.1735,0.0106,8.04,,100.3813,mrwy12_cpx8.15 line Line 001,HM,MRWY12,Lava,0.76256822,1.979740098,0.062368785,0.055097568,0,0.016014169,0.888688609,0.004841786,0.000316296,0.249418194,0,0.753536025,40.1209155,13.12261124,46.75647326
62,13.47,52.75,1.1099,1.4773,0.0209,0.572,21.79,0.1542,0.0093,8.75,,100.1036,mrwy12_cpx8.15 line Line 002,HM,MRWY12,Lava,0.74982187,1.969742758,0.080354081,0.065013458,0.000617025,0.018090971,0.871788461,0.004331781,0.000279349,0.273247506,0,0.732914001,39.57140507,14.42047528,46.00811965
63,13.36,53.05,0.9632,1.4656,0,0.5167,22.15,0.1356,0.0007,8.41,,100.0518,mrwy12_cpx8.15 line Line 003,HM,MRWY12,Lava,0.742460391,1.977646935,0.069617254,0.064391175,0,0.016314758,0.88471612,0.003802929,2.10E-05,0.262192626,0,0.73902171,39.29673542,13.8772578,46.82600678
64,13.57,53.11,1.048,1.4173,0.005,0.5014,22.28,0.1247,0,8.25,,100.3064,mrwy12_cpx8.15 line Line 004,HM,MRWY12,Lava,0.75220826,1.974836261,0.075553244,0.062110367,0.000146992,0.015791301,0.887639899,0.00348832,0,0.256548716,0,0.745678373,39.66512865,13.52821865,46.8066527
65,13.51,53,0.8978,1.4318,0,0.494,22.28,0.1299,0.0158,8.35,,100.1093,mrwy12_cpx8.15 line Line 005,HM,MRWY12,Lava,0.750451768,1.974876065,0.064860549,0.062877296,0,0.015590847,0.889500099,0.003641399,0.000473586,0.260202555,0,0.742540501,39.49425157,13.69375838,46.81199005
66,13.44,53.06,0.9728,1.4235,0,0.4653,22.21,0.1302,0.0189,8.37,,100.0907,mrwy12_cpx8.15 line Line 006,HM,MRWY12,Lava,0.74659104,1.977184928,0.070281439,0.062515115,0,0.014685607,0.886738248,0.003649944,0.000566525,0.260835446,0,0.741087365,39.41531728,13.77047313,46.81420959
67,13.58,53.2,0.9376,1.3549,0.0083,0.516,22.33,0.0924,0.0016,8.15,,100.1708,mrwy12_cpx8.15 line Line 007,HM,MRWY12,Lava,0.753152398,1.97920722,0.067629204,0.059406559,0.000244133,0.016259535,0.890092609,0.002586108,4.79E-05,0.253570279,0,0.748123009,39.70615398,13.36821148,46.92563454
68,13.78,53.19,1.0854,1.3507,0.0088,0.5368,21.73,0.1057,0,8.51,,100.2974,mrwy12_cpx8.15 line Line 008,HM,MRWY12,Lava,0.763727636,1.977496937,0.07823709,0.059182356,0.000258665,0.016903519,0.865590324,0.002956351,0,0.264591869,0,0.742694884,40.32544865,13.97066878,45.70388256
69,13.72,53.08,0.9238,1.4082,0.0002,0.4961,22.22,0.0957,0.0151,8.05,,100.0091,mrwy12_cpx8.15 line Line 009,HM,MRWY12,Lava,0.761684662,1.976735465,0.066701045,0.061805838,5.89E-06,0.015648246,0.886601644,0.002681172,0.000452347,0.250711714,0,0.752358148,40.10981867,13.2023157,46.68786563
70,13.8,53.4,0.9655,1.48,0.0048,0.4969,22.41,0.0944,0.0096,7.6,,100.2612,mrwy12_cpx8.15 line Line 010,HM,MRWY12,Lava,0.76255913,1.979393943,0.069387349,0.064654717,0.00014067,0.015600509,0.890019811,0.002632438,0.000286246,0.235594787,0,0.763969481,40.38606822,12.47738933,47.13654245
71,17.61,54.91,0.225,0.1889,0.0791,0.0782,24.52,0.4108,0.0241,2.61,,100.6561,mrwy12_cpx8.15 line Line 011,HM,MRWY12,Lava,0.949577748,1.986182531,0.015779283,0.008052805,0.00226211,0.002395815,0.950287502,0.01117875,0.000701233,0.078953125,0,0.92323699,47.98710989,3.989912686,48.02297743
