   No. ,   MgO   ,   SiO2  ,   Na2O  ,   Al2O3 ,   Cr2O3 ,   MnO   ,   CaO   ,   TiO2  ,   NiO   ,   FeO   ,K2O,Total,Comment  ,Location,Sample,type,   Mg,   Si,   Na,   Al,   Cr,   Mn,   Ca,   Ti,   Ni,   Fe,K,Mg #
103,50.34,40.72,0.1547,0.0488,,0.1178,0.0974,0.0311,0.3077,6.61,,98.5145,mrwy265_ol_px_cumul23 ,HM,MRWY265,CUMUL,1.84,1,0.01,0,0,0,0,0,0.01,0.14,0,0.931391465
104,50.43,40.77,0.1791,0.0202,,0.1271,0.0981,0.0219,0.3279,6.5,,98.551,mrwy265_ol_px_cumul24 ,HM,MRWY265,CUMUL,1.85,1,0.01,0,0,0,0,0,0.01,0.13,0,0.932568506
105,51.02,41.13,0.0889,0.0397,,0.1505,0.0923,0.0317,0.3385,6.61,,99.5867,mrwy265_ol_px_cumul25 ,HM,MRWY265,CUMUL,1.85,1,0,0,0,0,0,0,0.01,0.13,0,0.932243929
106,50.23,40.54,0.2677,0.0207,,0.1809,0.1018,0.0515,0.3242,6.8,,98.5916,mrwy265_ol_px_cumul26 ,HM,MRWY265,CUMUL,1.84,1,0.01,0,0,0,0,0,0.01,0.14,0,0.929414904
139,32.51,37.15,0.0098,0.1835,,0.2422,0.2325,0.1379,1.85,25.88,,98.276,mrwy89_ol_px22 ,HM,MRWY89,CUMUL,1.32,1.01,0,0.01,0,0.01,0.01,0,0.04,0.59,0,0.691282862
140,33.86,37.66,0.0072,0.0447,,0.2199,0.2435,0.2077,1.68,24.18,,98.1343,mrwy89_ol_px23 ,HM,MRWY89,CUMUL,1.36,1.02,0,0,0,0.01,0.01,0,0.04,0.55,0,0.713972179
142,38.25,38.05,0.0105,0.1077,,0.2096,0.4625,0.0396,0.8388,21.1,,99.0997,mrwy89_ol_px25 ,HM,MRWY89,CUMUL,1.5,1,0,0,0,0,0.01,0,0.02,0.46,0,0.763671855
144,36.02,37.6,0.0119,0.0749,,0.2312,0.0999,0.044,0.8227,24.18,,99.1565,mrwy89_ol_px27 ,HM,MRWY89,CUMUL,1.43,1,0,0,0,0.01,0,0,0.02,0.54,0,0.726432043
72,51.2,41.67,0.0075,0.0006,,0.1371,0.1423,0,0.4318,7.43,,101.0429,mrwy263_cpx3_11 ,EH,MRWY263,XENO,1.83,1,0,0,0,0,0,0,0.01,0.15,0,0.924718856
73,50.64,41.59,0,0.0023,,0.0972,0.0134,0.0162,0.6007,8.23,,101.2012,mrwy263_cpx6_1 ,EH,MRWY263,XENO,1.82,1,0,0,0,0,0,0,0.01,0.17,0,0.916445397
74,50.55,41.92,0.0047,0.0005,,0.1095,0.0141,0,0.6382,8.38,,101.6229,mrwy263_cpx6_2 ,EH,MRWY263,XENO,1.81,1.01,0,0,0,0,0,0,0.01,0.17,0,0.914913521
75,50.54,41.44,0.0036,0.0063,,0.1031,0.0052,0.0252,0.65,8.25,,101.0234,mrwy263_cpx6_3 ,EH,MRWY263,XENO,1.82,1,0,0,0,0,0,0,0.01,0.17,0,0.91610756
76,50.37,41.46,0,0.0012,,0.0734,0.0021,0.0257,0.6246,8.4,,100.957,mrwy263_cpx6_4 ,EH,MRWY263,XENO,1.81,1,0,0,0,0,0,0,0.01,0.17,0,0.914449112
77,50.4,41.47,0,0.0002,,0.114,0.0099,0.0271,0.5974,8.39,,101.0112,mrwy263_cpx6_5 ,EH,MRWY263,XENO,1.81,1,0,0,0,0,0,0,0.01,0.17,0,0.914588777
78,50.34,41.28,0.0004,0,,0.1152,0.0014,0.0086,0.6327,8.28,,100.6582,mrwy263_cpx6_6 ,EH,MRWY263,XENO,1.82,1,0,0,0,0,0,0,0.01,0.17,0,0.915522012
79,50.41,41.49,0.0035,0,,0.1196,0.0321,0.0188,0.5585,7.92,,100.5599,mrwy263_cpx6_7 ,EH,MRWY263,XENO,1.82,1,0,0,0,0,0,0,0.01,0.16,0,0.919000579
80,50.17,41.58,0.0003,0.0029,,0.1216,0.0262,0.0157,0.5984,8.08,,100.5979,mrwy263_cpx6_8 ,EH,MRWY263,XENO,1.81,1.01,0,0,0,0,0,0,0.01,0.16,0,0.917137268
81,50.11,41.25,0,0,,0.0844,0.008,0.0112,0.5724,8.34,,100.3769,mrwy263_cpx6_9 ,EH,MRWY263,XENO,1.81,1,0,0,0,0,0,0,0.01,0.17,0,0.914604924
82,50.31,41.31,0.0026,0,,0.0933,0.0065,0.0048,0.5693,8.32,,100.6167,mrwy263_cpx6_10 ,EH,MRWY263,XENO,1.82,1,0,0,0,0,0,0,0.01,0.17,0,0.915102233
