   No. ,   MgO   ,   SiO2  ,   Na2O  ,   Al2O3 ,   Cr2O3 ,   MnO   ,   CaO   ,   TiO2  ,   NiO   ,   FeO   ,K2O,Total,Comment  ,Location,Sample,type,   Mg,   Si,   Na,   Al,   Cr,   Mn,   Ca,   Ti,   Ni,   Fe,K,Mg #
1,51.97,41.42,0.0037,0.0065,0.0237,0.104,0.0586,0,0.4485,6.94,,100.9661,mrwy44_ol1_1 ,STM,MRWY44,XENO,1.86,0.99,0,0,0,0,0,0,0.01,0.14,0,0.930306772
2,51.85,41.21,0.013,0,0.0115,0.079,0.0185,0.0085,0.3344,6.97,,100.4935,mrwy44_ol1_2 ,STM,MRWY44,XENO,1.86,0.99,0,0,0,0,0,0,0.01,0.14,0,0.929875997
3,51.07,40.42,0.1388,0,0.006,0.1249,0.0107,0,0.3685,7.82,,99.9706,mrwy44_ol2_1 ,STM,MRWY44,XENO,1.86,0.99,0.01,0,0,0,0,0,0.01,0.16,0,0.920894208
4,51.23,40.35,0.0178,0.0001,0,0.1165,0.0031,0,0.3709,7.76,,99.8484,mrwy44_ol2_2 ,STM,MRWY44,XENO,1.86,0.98,0,0,0,0,0,0,0.01,0.16,0,0.921679585
5,51.32,40.93,0.0128,0,0,0.1247,0.0025,0,0.3447,7.76,,100.4947,mrwy44_ol3_1 ,STM,MRWY44,XENO,1.85,0.99,0,0,0,0,0,0,0.01,0.16,0,0.921806196
6,51.2,41.06,0.0105,0.0014,0.0027,0.1207,0.0038,0,0.373,7.81,,100.5841,mrwy44_ol3_2 ,STM,MRWY44,XENO,1.85,0.99,0,0,0,0,0,0,0.01,0.16,0,0.921172177
7,51.21,40.69,0.0013,0.006,0,0.0963,0.0082,0.0141,0.3432,7.76,,100.129,mrwy44_ol3_3 ,STM,MRWY44,XENO,1.86,0.99,0,0,0,0,0,0,0.01,0.16,0,0.921651394
8,51.1,40.79,0.0099,0,0.0075,0.1056,0,0,0.3847,7.72,,100.1228,mrwy44_ol4_1 ,STM,MRWY44,XENO,1.85,0.99,0,0,0,0,0,0,0.01,0.16,0,0.921869021
9,51.06,40.64,0.0178,0.0012,0.0029,0.0992,0.0038,0.0067,0.3789,7.8,,100.0162,mrwy44_ol4_2 ,STM,MRWY44,XENO,1.85,0.99,0,0,0,0,0,0,0.01,0.16,0,0.921066322
10,50.5,40.29,0.0642,0.0036,0.001,0.1739,0.0637,0.0077,0.3195,8.19,,99.6248,mrwy44_ol5_1 ,STM,MRWY44,XENO,1.84,0.99,0,0,0,0,0,0,0.01,0.17,0,0.916606341
11,51.39,40.67,0.02,0.0061,0.0003,0.1319,0.1288,0.0072,0.2672,7.15,,99.7855,mrwy44_ol5_2 ,STM,MRWY44,XENO,1.86,0.99,0,0,0,0,0,0,0.01,0.15,0,0.92759888
