   No. ,   MgO   ,   SiO2  ,   Na2O  ,   Al2O3 ,   Cr2O3 ,MnO,   CaO   ,   TiO2  ,NiO,   FeO   ,  Total  ,Comment  ,Location,Sample,   Mg,   Si,   Na,   Al,   Cr,   Mn,   Ca,   Ti,   Ni,   Fe,K,Mg #,Mg,Fe,Ca
28,20.31,52.72,0.1082,1.3085,0.0082,,1.1001,0.0341,,25.47,101.0591,pyroxene3_8 ,HM,MRWY14,1.13,1.97,0.01,0.06,0,0,0.04,0,0,0.8,0,0.587019695,57.39044068,40.37534321,2.234216111
29,20.34,52.76,0.0391,1.4665,0.0143,,0.7075,0.04,,25.79,101.1573,pyroxene3_9 ,HM,MRWY14,1.13,1.97,0,0.06,0,0,0.03,0,0,0.8,0,0.584348153,57.59345179,40.96671568,1.439832533
30,20.32,52.78,0.0281,1.5649,0.0036,,0.7791,0.0564,,25.68,101.212,pyroxene3_10 ,HM,MRWY14,1.13,1.97,0,0.07,0,0,0.03,0,0,0.8,0,0.585147162,57.5861434,40.8269518,1.586904799
31,20.31,52.37,0.3752,1.5604,0.0197,,0.9141,0.0427,,25.57,101.162,pyroxene3_11 ,HM,MRWY14,1.13,1.96,0.03,0.07,0,0,0.04,0,0,0.8,0,0.58606942,57.51653425,40.62292206,1.860543691
32,20.56,52.73,0,1.1017,0.0139,,0.3871,0.0854,,26.48,101.3581,pyroxene3_12 ,HM,MRWY14,1.14,1.97,0,0.05,0,0,0.02,0,0,0.83,0,0.580543301,57.60181383,41.61871582,0.779470348
33,20.6,52.9,0.0103,1.0954,0.0131,,0.3297,0.0375,,26.26,101.2459,pyroxene3_13 ,HM,MRWY14,1.15,1.97,0,0.05,0,0,0.01,0,0,0.82,0,0.583046099,57.91617534,41.41760878,0.666215879
34,20.66,52.92,0.0356,0.8487,0,,0.2832,0.0281,,26.41,101.1855,pyroxene3_14 ,HM,MRWY14,1.15,1.98,0,0.04,0,0,0.01,0,0,0.83,0,0.582368299,57.90460127,41.52492009,0.570478637
35,20.76,53.15,0.0236,1.0133,0.0046,,0.317,0.0336,,26.25,101.552,pyroxene3_15 ,HM,MRWY14,1.15,1.98,0,0.04,0,0,0.01,0,0,0.82,0,0.585018238,58.12861263,41.23343941,0.637947954
36,20.41,53,0.0205,0.9356,0.0206,,0.3665,0.0463,,26.56,101.3595,pyroxene4_1 ,HM,MRWY14,1.14,1.98,0,0.04,0,0,0.01,0,0,0.83,0,0.578023533,57.37433967,41.88518251,0.740477818
37,20.57,52.98,0.0421,1.0757,0.0316,,0.3574,0.0406,,26.26,101.3573,pyroxene4_2 ,HM,MRWY14,1.14,1.97,0,0.05,0,0,0.01,0,0,0.82,0,0.582691764,57.84824369,41.42936283,0.722393472
38,20.66,52.67,0.0386,1.1224,0.0345,,0.2898,0.037,,26.33,101.1822,pyroxene4_3 ,HM,MRWY14,1.15,1.97,0,0.05,0,0,0.01,0,0,0.82,0,0.58310597,57.96981174,41.44575714,0.584431119
39,20.4,52.77,0.0743,1.255,0.0231,,0.887,0.0435,,25.63,101.0828,pyroxene4_4 ,HM,MRWY14,1.14,1.97,0.01,0.06,0,0,0.04,0,0,0.8,0,0.586573381,57.60146268,40.59846339,1.800073931
40,20.82,53.15,0.0339,0.9893,0.0373,,0.2622,0.0308,,26.32,101.6434,pyroxene4_5 ,HM,MRWY14,1.15,1.97,0,0.04,0,0,0.01,0,0,0.82,0,0.585072348,58.19902911,41.27418871,0.526782186
41,20.4,52.92,0.0408,1.0464,0.0233,,0.4288,0.0263,,26.31,101.1955,pyroxene4_6 ,HM,MRWY14,1.14,1.98,0,0.05,0,0,0.02,0,0,0.82,0,0.580209188,57.51676042,41.61431435,0.868925224
42,20.56,53.19,0.0244,0.985,0.025,,0.6839,0.0483,,26.14,101.6565,pyroxene4_7 ,HM,MRWY14,1.14,1.98,0,0.04,0,0,0.03,0,0,0.81,0,0.583686907,57.56539702,41.05836235,1.376240633
43,20.67,53.18,0.0331,1.0651,0.0105,,0.4028,0.0556,,26.23,101.6471,pyroxene4_8 ,HM,MRWY14,1.14,1.98,0,0.05,0,0,0.02,0,0,0.81,0,0.584148246,57.94077942,41.24770531,0.811515271
44,20,52.92,0.0439,1.1596,0.0189,,1.87,0.1645,,25.49,101.6668,pyroxene4_9 ,HM,MRWY14,1.11,1.97,0,0.05,0,0,0.07,0,0,0.79,0,0.583095168,56.11084096,40.1184609,3.770698142
45,20.73,53.22,0.0337,0.968,0.0021,,0.4592,0.0461,,26.1,101.559,pyroxene4_10 ,HM,MRWY14,1.15,1.98,0,0.04,0,0,0.02,0,0,0.81,0,0.586058024,58.06403391,41.01153794,0.924428147
46,20.42,52.65,0.0905,1.0924,0.0112,,0.7973,0.0427,,26.23,101.334,pyroxene4_11 ,HM,MRWY14,1.14,1.97,0.01,0.05,0,0,0.03,0,0,0.82,0,0.581189277,57.18623521,41.20896481,1.604799982
