   No. ,   MgO   ,   SiO2  ,   Na2O  ,   Al2O3 ,   Cr2O3 ,MnO,   CaO   ,   TiO2  ,NiO,   FeO   ,  Total  ,Comment  ,Location,Sample,   Mg,   Si,   Na,   Al,   Cr,   Mn,   Ca,   Ti,   Ni,   Fe,K,Mg #,Mg,Fe,Ca
104,11.69,0.0027,0.0312,0.054,0.0624,,0.0204,52.87,,34.23,98.9607,mrwy12_oxide_line Line 005 ,HM,MRWY12,0.83,0,0,0,0,0,0,1.9,0,1.37,0,0.378405332,37.82258221,62.12997937,0.047438419
105,6.92,0.0206,0.011,0.0818,0.0621,,0.0376,54.56,,37.51,99.2031,mrwy12_oxide_line Line 006 ,HM,MRWY12,0.5,0,0,0,0,0,0,1.98,0,1.52,0,0.247471134,24.72322016,75.18023031,0.09654953
106,4.43,0.0286,0.0687,0.4698,0.2826,,0.0408,7.16,,84.11,96.5906,mrwy12_oxide_line Line 007 ,HM,MRWY12,0.44,0,0.01,0.04,0.02,0,0,0.36,0,4.74,0,0.085827525,8.57787915,91.36534028,0.056780569
107,4.54,0.0411,0.0907,0.4599,0.3347,,0.0242,7.12,,83.9,96.5107,mrwy12_oxide_line Line 008 ,HM,MRWY12,0.46,0,0.01,0.04,0.02,0,0,0.36,0,4.73,0,0.087971991,8.794235205,91.17207325,0.033691548
108,4.21,0.0344,0.0719,0.5712,0.3748,,0.0284,12.79,,78.33,96.4108,mrwy12_oxide_line Line 009 ,HM,MRWY12,0.41,0,0.01,0.04,0.02,0,0,0.62,0,4.24,0,0.087430373,8.73933275,91.21829535,0.042371896
109,4.23,0.0475,0.0393,0.6956,0.3865,,0.0233,11.57,,78.89,95.8823,mrwy12_oxide_line Line 010 ,HM,MRWY12,0.41,0,0,0.05,0.02,0,0,0.57,0,4.32,0,0.087240313,8.721019261,91.24445475,0.034525993
110,5.58,0.0345,0.0497,0.0821,0.0402,,0.137,54.69,,36.92,97.5335,mrwy12_oxide_line Line 011 Line 001 ,HM,MRWY12,0.41,0,0,0,0,0,0.01,2.02,0,1.52,0,0.212232897,21.14410306,78.48278511,0.373111825
111,9.14,0.0364,0.1079,0.0711,0.0356,,0.0794,53.52,,35.8,98.7905,mrwy12_oxide_line Line 011 Line 002 ,HM,MRWY12,0.66,0,0.01,0,0,0,0,1.94,0,1.44,0,0.31276136,31.21517997,68.58992376,0.19489627
112,8.71,0.0247,0.0424,0.0779,0.0709,,0.052,52.23,,37.74,98.948,mrwy12_oxide_line Line 011 Line 003 ,HM,MRWY12,0.63,0,0,0,0,0,0,1.91,0,1.53,0,0.291480935,29.11168306,70.76340157,0.124915371
113,11.71,0.0128,0.0295,0.0661,0.0625,,0.0253,52.05,,34.96,98.9163,mrwy12_oxide_line Line 011 Line 004 ,HM,MRWY12,0.84,0,0,0,0,0,0,1.88,0,1.4,0,0.373854757,37.36378462,62.57819537,0.058020019
114,11,0.0131,0.0282,0.0606,0.0603,,0.0223,51.36,,37.09,99.6346,mrwy12_oxide_line Line 011 Line 005 ,HM,MRWY12,0.79,0,0,0,0,0,0,1.86,0,1.49,0,0.345833211,34.56590346,65.38373216,0.050364377
115,9.72,0,0.0268,0.0703,0.0558,,0.0223,51.6,,37.59,99.0853,mrwy12_oxide_line Line 011 Line 006 ,HM,MRWY12,0.7,0,0,0,0,0,0,1.88,0,1.52,0,0.315505163,31.53411079,68.4138917,0.051997512
116,9.89,0.0004,0.0298,0.0642,0.0655,,0.0201,53.12,,36.12,99.3101,mrwy12_oxide_line Line 011 Line 007 ,HM,MRWY12,0.71,0,0,0,0,0,0,1.92,0,1.45,0,0.327993064,32.7835997,67.16851306,0.047887237
117,8.61,0.0137,0.0281,0.0631,0.0464,,0.0136,55.11,,35.77,99.655,mrwy12_oxide_line Line 011 Line 008 ,HM,MRWY12,0.61,0,0,0,0,0,0,1.98,0,1.43,0,0.300243448,30.01411427,69.95181161,0.034074121
118,7.04,0.0394,0.0563,0.364,0.2137,,0.0905,45.95,,43.9,97.654,mrwy12_oxide_line Line 011 Line 009 ,HM,MRWY12,0.54,0,0.01,0.02,0.01,0,0,1.77,0,1.88,0,0.222309207,22.18535241,77.60967036,0.204977235
119,5.04,0.034,0.0628,0.483,0.3257,,0.0128,8.65,,81.79,96.3984,mrwy12_oxide_line Line 011 Line 010 ,HM,MRWY12,0.5,0,0.01,0.04,0.02,0,0,0.43,0,4.54,0,0.098971717,9.895384058,90.08655354,0.0180624
120,4.86,0.0478,0.1175,0.6288,0.3786,,0.0122,10.2,,80.4,96.645,mrwy12_oxide_line Line 011 Line 011 ,HM,MRWY12,0.47,0,0.01,0.05,0.02,0,0,0.5,0,4.4,0,0.09727031,9.725324262,90.25712922,0.017546521
121,4.48,0.0536,0.2026,0.8012,0.43,,0.0305,14.15,,75.94,96.088,mrwy12_oxide_line Line 011 Line 012 ,HM,MRWY12,0.43,0,0.03,0.06,0.02,0,0,0.68,0,4.06,0,0.095153484,9.510920134,90.44254186,0.046538002
122,4.97,0.0224,0.0414,0.6484,0.4306,,0.0079,9.83,,79.98,95.9308,mrwy12_oxide_line Line 011 Line 013 ,HM,MRWY12,0.49,0,0.01,0.05,0.02,0,0,0.49,0,4.42,0,0.09972262,9.971126042,90.01748253,0.011391431
123,4.79,0.0262,0.1063,0.7592,0.4293,,0.0196,10.93,,79.37,96.4307,mrwy12_oxide_line Line 011 Line 014 ,HM,MRWY12,0.47,0,0.01,0.06,0.02,0,0,0.54,0,4.33,0,0.097128651,9.710091469,90.26135188,0.02855665
124,4.97,0.0344,0.0365,0.5713,0.4272,,0.0192,10.15,,80.35,96.5587,mrwy12_oxide_line Line 011 Line 015 ,HM,MRWY12,0.49,0,0,0.04,0.02,0,0,0.5,0,4.41,0,0.099309016,9.928163993,90.04426979,0.027566216
125,4.57,0.0482,0.0465,0.8425,0.448,,0.0148,11.61,,78.1,95.6801,mrwy12_oxide_line Line 011 Line 016 ,HM,MRWY12,0.45,0,0.01,0.06,0.02,0,0,0.57,0,4.27,0,0.094453544,9.443278247,90.53474155,0.021980202
126,4.95,0.0009,0.0678,0.5321,0.4343,,0.0246,10.37,,80.11,96.4898,mrwy12_oxide_line Line 011 Line 017 ,HM,MRWY12,0.48,0,0.01,0.04,0.02,0,0,0.51,0,4.39,0,0.099215953,9.918080467,90.04649363,0.035425902
127,4.68,0.0307,0.0654,0.3904,0.4402,,0.0312,11.69,,78.93,96.258,mrwy12_oxide_line Line 011 Line 018 ,HM,MRWY12,0.46,0,0.01,0.03,0.02,0,0,0.57,0,4.31,0,0.095589801,9.554603869,90.39961518,0.045780951
128,4.83,0.0269,0.0455,0.5449,0.4428,,0.0155,10.48,,80.18,96.5657,mrwy12_oxide_line Line 011 Line 019 ,HM,MRWY12,0.47,0,0.01,0.04,0.02,0,0,0.52,0,4.39,0,0.096967624,9.694594171,90.28304553,0.022360298
129,4.68,0.0555,0.0742,0.5293,0.4369,,0.0233,11.9,,78.46,96.1593,mrwy12_oxide_line Line 011 Line 020 ,HM,MRWY12,0.45,0,0.01,0.04,0.02,0,0,0.58,0,4.27,0,0.096107381,9.607434135,90.35818785,0.03437802
1,27.618,52.738,0.023,4.638,0,0.407,0.282,0.018,0.062,13.978,99.764,mrwy08b_opx1_1 ,HM,MRWY08,1.48,1.89,0,0.2,0,0.01,0.01,0,0,0.42,0,0.778858988,77.44324657,21.9884192,0.568334228
2,27.648,53.029,0.013,4.617,0.008,0.392,0.299,0.017,0.033,13.865,99.921,mrwy08b_opx1_2 ,HM,MRWY08,1.47,1.9,0,0.19,0,0.01,0.01,0,0,0.41,0,0.780439962,77.57342715,21.82361934,0.602953506
3,27.751,53.219,0.017,4.688,0.007,0.392,0.287,0.013,0.029,14.007,100.41,mrwy08b_opx1_3 ,HM,MRWY08,1.47,1.89,0,0.2,0,0.01,0.01,0,0,0.42,0,0.779329114,77.48406278,21.93999486,0.575942361
4,27.587,53.037,0.001,4.555,0.018,0.41,0.301,0.014,0.038,14.029,99.99,mrwy08b_opx1_4 ,HM,MRWY08,1.47,1.9,0,0.19,0,0.01,0.01,0,0,0.42,0,0.778037179,77.33188914,22.06167619,0.606434665
5,27.339,52.545,0.095,4.56,0.004,0.4,0.311,0.016,0.044,13.9,99.214,mrwy08b_px2_1 ,HM,MRWY08,1.47,1.9,0.01,0.19,0,0.01,0.01,0,0,0.42,0,0.778072991,77.31545458,22.05241389,0.632131535
6,26.961,52.293,0.023,4.645,0.006,0.396,1.001,0.009,0.072,13.909,99.315,mrwy08b_px2_2 ,HM,MRWY08,1.45,1.89,0,0.2,0,0.01,0.04,0,0,0.42,0,0.775546894,75.98222249,21.99021873,2.027558773
7,27.469,52.99,0.019,4.5,0.024,0.388,0.287,0.024,0.024,13.986,99.711,mrwy08b_px2_3 ,HM,MRWY08,1.47,1.9,0,0.19,0,0.01,0.01,0,0,0.42,0,0.777826978,77.33100922,22.08828506,0.58070572
8,27.491,52.67,0.018,4.845,0.021,0.407,0.296,0.03,0.043,14.098,99.919,mrwy08b_px2_4 ,HM,MRWY08,1.47,1.89,0,0.2,0,0.01,0.01,0,0,0.42,0,0.776584487,77.19453222,22.20808721,0.597380568
9,27.317,52.654,0.02,4.808,0.009,0.393,0.305,0.025,0.063,14.131,99.725,mrwy08b_px2_5 ,HM,MRWY08,1.46,1.89,0,0.2,0,0.01,0.01,0,0,0.42,0,0.775073579,77.02826115,22.35360816,0.618130694
10,27.327,52.493,0.007,4.795,0.015,0.379,0.303,0.026,0.049,14.105,99.499,mrwy08b_px2_6 ,HM,MRWY08,1.47,1.89,0,0.2,0,0.01,0.01,0,0,0.42,0,0.775458211,77.06954886,22.31626945,0.614181693
11,14.909,0.01,0.018,60.867,0.326,0.264,0.012,0.005,0.469,19.346,96.226,mrwy08b_ox1_1 ,HM,MRWY08,0.91,0,0,2.93,0.01,0.01,0,0,0.02,0.66,0,0.578721143,57.85274607,42.11378667,0.033467255
12,14.999,0.017,0.02,60.71,0.321,0.248,0.003,0.009,0.465,19.4,96.192,mrwy08b_ox1_2 ,HM,MRWY08,0.91,0,0,2.92,0.01,0.01,0,0,0.02,0.66,0,0.579508691,57.94604176,42.04562822,0.008330021
13,19.919,43.183,0.074,4.063,0.01,0.307,0.589,0.139,0.024,12.463,80.771,mrwy08b_px3_1 ,HM,MRWY08,1.32,1.92,0.01,0.21,0,0.01,0.03,0,0,0.46,0,0.740189973,72.87264306,25.57862712,1.548729829
14,27.518,52.598,0.009,4.621,0.002,0.346,0.309,0.033,0.045,13.926,99.407,mrwy08b_px3_2 ,HM,MRWY08,1.48,1.89,0,0.2,0,0.01,0.01,0,0,0.42,0,0.778876154,77.4010734,21.9742547,0.624671907
15,27.652,53.032,0.01,4.299,0.014,0.372,0.416,0.019,0.058,13.648,99.52,mrwy08b_px3_3 ,HM,MRWY08,1.48,1.9,0,0.18,0,0.01,0.02,0,0,0.41,0,0.783155616,77.65795801,21.50235751,0.839684483
16,25.852,50.805,0.019,4.645,0.015,0.346,0.75,0.039,0.039,13.63,96.14,mrwy08b_px3_4 ,HM,MRWY08,1.44,1.89,0,0.2,0,0.01,0.03,0,0,0.42,0,0.771739776,75.95178579,22.46453038,1.583683836
17,27.278,52.421,0.011,5.096,0,0.367,0.54,0.046,0.058,14.074,99.891,mrwy08b_px3_5 ,HM,MRWY08,1.46,1.88,0,0.22,0,0.01,0.02,0,0,0.42,0,0.775528812,76.70648323,22.20213503,1.091381745
18,27.446,52.632,0.005,4.984,0.004,0.369,0.294,0.03,0.022,14.023,99.809,mrwy08b_px3_6 ,HM,MRWY08,1.47,1.89,0,0.21,0,0.01,0.01,0,0,0.42,0,0.777225068,77.26019574,22.14498167,0.59482259
19,27.457,52.531,0.011,4.813,0.005,0.366,0.266,0.023,0.056,13.97,99.498,mrwy08b_px3_7 ,HM,MRWY08,1.47,1.89,0,0.2,0,0.01,0.01,0,0,0.42,0,0.777949254,77.37579579,22.08544209,0.538762128
20,23.715,48.081,0.062,4.727,0.028,0.359,0.545,0.061,0.036,13.254,90.868,mrwy08b_px3_8 ,HM,MRWY08,1.39,1.9,0,0.22,0,0.01,0.02,0,0,0.44,0,0.761306321,75.18520384,23.57294618,1.241849976
21,27.277,52.412,0.03,5.093,0.005,0.377,0.368,0.035,0.039,13.869,99.505,mrwy08b_px3_9 ,HM,MRWY08,1.46,1.88,0,0.22,0,0.01,0.01,0,0,0.42,0,0.778066482,77.22403038,22.02716751,0.748802106
22,26.746,51.475,0.009,5.151,0.018,0.388,0.859,0.051,0.036,13.804,98.537,mrwy08b_px3_10 ,HM,MRWY08,1.45,1.87,0,0.22,0,0.01,0.03,0,0,0.42,0,0.775472253,76.18350617,22.05792788,1.758565943
23,26.244,51.136,0.031,4.743,0.017,0.371,0.298,0.031,0.045,13.854,96.77,mrwy08b_px3_11 ,HM,MRWY08,1.45,1.89,0,0.21,0,0.01,0.01,0,0,0.43,0,0.77151927,76.66918261,22.70511121,0.625706183
24,27.234,52.197,0.008,4.985,0.014,0.34,0.461,0.043,0.068,13.895,99.245,mrwy08b_px3_12 ,HM,MRWY08,1.46,1.88,0,0.21,0,0.01,0.02,0,0,0.42,0,0.777470065,77.01850307,22.04447891,0.937018022
25,27.231,52.374,0,4.778,0,0.374,0.187,0.021,0.045,14.185,99.195,mrwy08b_px4_1 ,HM,MRWY08,1.47,1.89,0,0.2,0,0.01,0.01,0,0,0.43,0,0.773856612,77.09121447,22.52829287,0.380492659
26,27.002,52.579,0.007,4.647,0.011,0.368,0.2,0.026,0.043,14.434,99.317,mrwy08b_px4_2 ,HM,MRWY08,1.45,1.9,0,0.2,0,0.01,0.01,0,0,0.44,0,0.769301409,76.61636794,22.97576466,0.407867406
27,27.185,52.539,0.015,4.73,0.01,0.366,0.246,0.01,0.064,14.235,99.4,mrwy08b_px4_3 ,HM,MRWY08,1.46,1.89,0,0.2,0,0.01,0.01,0,0,0.43,0,0.772943666,76.90774411,22.59206104,0.500194856
28,27.049,52.495,0.01,4.152,0.018,0.367,0.15,0.019,0.038,14.017,98.315,mrwy08b_px4_4 ,HM,MRWY08,1.47,1.91,0,0.18,0,0.01,0.01,0,0,0.43,0,0.77476676,77.23816609,22.45398659,0.30784732
29,27.062,52.701,0.005,4.669,0.003,0.362,0.255,0.035,0.049,13.986,99.127,mrwy08b_px4_5 ,HM,MRWY08,1.45,1.9,0,0.2,0,0.01,0.01,0,0,0.42,0,0.775236618,77.11877087,22.35894869,0.522280448
30,27.288,52.61,0.014,4.487,0.021,0.369,0.177,0.014,0.054,14.174,99.208,mrwy08b_px4_6 ,HM,MRWY08,1.47,1.9,0,0.19,0,0.01,0.01,0,0,0.43,0,0.774357913,77.15725392,22.48304503,0.359701046
31,27.145,52.443,0.003,4.611,0,0.352,0.3,0.02,0.033,13.891,98.798,mrwy08b_px4_7 ,HM,MRWY08,1.46,1.9,0,0.2,0,0.01,0.01,0,0,0.42,0,0.776953131,77.21875872,22.16787824,0.613363041
32,27.655,53.208,0.001,3.83,0.004,0.346,0.143,0.006,0.07,13.772,99.035,mrwy08b_px4_8 ,HM,MRWY08,1.49,1.92,0,0.16,0,0.01,0.01,0,0,0.42,0,0.781634228,77.93702448,21.77332816,0.28964736
33,27.161,52.542,0.007,4.698,0.015,0.385,0.22,0.004,0.063,14.203,99.298,mrwy08b_px4_9 ,HM,MRWY08,1.46,1.89,0,0.2,0,0.01,0.01,0,0,0.43,0,0.773183536,76.97189205,22.5800105,0.448097443
134,20.2,51.95,0.0168,1.3438,0.03,0.5012,0.4255,0.0265,0.0192,25.81,100.323,mrwy14_opx1.1,HM,MRWY14,1.14,1.96,0,0.06,0,0.02,0.02,0,0,0.81,0,0.582481111,57.73894181,41.3869194,0.874138792
135,20.47,52.22,0.0225,0.9926,0.0244,0.4983,0.649,0.0469,0.006,25.51,100.4397,mrwy14_opx1.2,HM,MRWY14,1.15,1.97,0,0.04,0,0.02,0.03,0,0,0.8,0,0.588540767,58.07521981,40.60141077,1.32336942
136,20.4,52.23,0.0137,1.131,0.0153,0.5043,0.3746,0.0436,0.017,25.83,100.5595,mrwy14_opx1.3,HM,MRWY14,1.14,1.97,0,0.05,0,0.02,0.02,0,0,0.81,0,0.584687113,58.02098812,41.21326347,0.765748412
137,20.52,52.08,0.251,1.1528,0,0.4924,0.3297,0.0339,0.0211,25.48,100.3609,mrwy14_opx1.4,HM,MRWY14,1.15,1.96,0.02,0.05,0,0.02,0.01,0,0,0.8,0,0.589416216,58.54314474,40.78080184,0.676053424
138,20.23,52.05,0.0235,1.2799,0.0314,0.4777,0.499,0.0218,0.0325,25.86,100.5058,mrwy14_opx1.5,HM,MRWY14,1.14,1.96,0,0.06,0,0.02,0.02,0,0,0.82,0,0.582371349,57.64201135,41.33609155,1.021897103
62,21.48,52.22,0.02,0.345,0.024,0.926,0.337,0.026,0.013,22.326,97.717,mrwy17_px3_1 ,HM,MRWY17,1.22,2,0,0.02,0,0.03,0.01,0,0,0.71,0,0.631676725,62.72092067,36.57183182,0.70724751
63,21.149,52.129,0.039,0.389,0.028,0.941,0.508,0.004,0.065,22.749,98.001,mrwy17_px3_2 ,HM,MRWY17,1.21,1.99,0,0.02,0,0.03,0.02,0,0,0.73,0,0.623661281,61.70179814,37.23299226,1.065209606
64,21.061,52.262,0.029,0.38,0.02,0.95,0.385,0.023,0.013,22.587,97.71,mrwy17_px3_3 ,HM,MRWY17,1.2,2,0,0.02,0,0.03,0.02,0,0,0.72,0,0.624359757,61.927972,37.25838858,0.813639413
65,21.446,52.453,0.018,0.351,0.019,0.911,0.306,0.015,0,22.759,98.278,mrwy17_px3_4 ,HM,MRWY17,1.22,2,0,0.02,0,0.03,0.01,0,0,0.72,0,0.626825922,62.28223318,37.07905834,0.638708476
66,21.52,52.355,0.012,0.317,0.023,0.937,0.281,0.006,0.004,22.677,98.132,mrwy17_px3_5 ,HM,MRWY17,1.22,1.99,0,0.01,0,0.03,0.01,0,0,0.72,0,0.628474493,62.47893977,36.93470463,0.586355607
67,21.448,52.347,0.005,0.34,0.02,0.919,0.304,0.017,0.025,22.726,98.151,mrwy17_px3_6 ,HM,MRWY17,1.22,1.99,0,0.02,0,0.03,0.01,0,0,0.72,0,0.627187082,62.32052917,37.04460596,0.634864866
68,21.446,52.423,0.009,0.361,0.014,0.89,0.339,0.025,0.008,22.57,98.085,mrwy17_px3_7 ,HM,MRWY17,1.22,2,0,0.02,0,0.03,0.01,0,0,0.72,0,0.628774488,62.43146891,36.85924682,0.70928427
