   No. ,   SiO2  ,   Al2O3 ,   Na2O  ,   MgO   ,   K2O   ,   MnO   ,   TiO2  ,   F     ,   CaO   ,   FeO   ,  Total  ,Comment  ,Sample,Location,type,   Si,   Al,   Na,   Mg,   K,   Mn   ,   Ti,F,   Ca,   Fe,OH
22,53.02,0.7804,4.14,19.99,4.55,0.0187,4.71,1.92,6.12,2.94,98.1892,mrwy249_amph4_7 ,MRWY249,EH,lava+xeno,7.61,0.13,1.15,4.28,0.83,0,0.51,0.87,0.94,0.35,1.13
23,52.26,0.8421,4.16,18.88,4.67,0.0437,6.1,1.45,5.74,3.79,97.9359,mrwy249_amph4_8 ,MRWY249,EH,lava+xeno,7.53,0.14,1.16,4.05,0.86,0.01,0.66,0.66,0.89,0.46,1.34
24,52.67,0.6638,4.22,19.47,4.64,0.0599,5.79,1.5,5.75,3.53,98.2938,mrwy249_amph4_9 ,MRWY249,EH,lava+xeno,7.55,0.11,1.17,4.16,0.85,0.01,0.62,0.68,0.88,0.42,1.32
25,53.18,0.7002,4.16,20.02,4.54,0.039,4.66,1.96,5.94,2.79,97.9893,mrwy249_amph4_10 ,MRWY249,EH,lava+xeno,7.64,0.12,1.16,4.29,0.83,0,0.5,0.89,0.91,0.34,1.11
26,52.7,0.7082,4.2,19.11,4.57,0.0759,5.82,1.44,5.7,3.65,97.9741,mrwy249_amph4_11 ,MRWY249,EH,lava+xeno,7.57,0.12,1.17,4.09,0.84,0.01,0.63,0.65,0.88,0.44,1.35
27,52.46,0.6162,4.17,18.79,4.68,0.0547,6.12,1.38,5.54,3.76,97.571,mrwy249_amph4_12 ,MRWY249,EH,lava+xeno,7.57,0.1,1.17,4.04,0.86,0.01,0.66,0.63,0.86,0.45,1.37
28,53.65,0.6967,4.18,19.94,4.6,0.0599,4.81,1.76,5.92,3.05,98.6667,mrwy249_amph4_13 ,MRWY249,EH,lava+xeno,7.64,0.12,1.15,4.24,0.84,0.01,0.52,0.79,0.9,0.36,1.21
29,53.33,0.4525,4.3,18.95,4.69,0.0661,5.9,1.4,5.45,3.66,98.1987,mrwy249_amph4_14 ,MRWY249,EH,lava+xeno,7.63,0.08,1.19,4.04,0.86,0.01,0.64,0.63,0.84,0.44,1.37
30,53.13,0.6147,4.16,19.37,4.62,0.0471,5.24,1.68,5.79,3.4,98.0519,mrwy249_amph4_15 ,MRWY249,EH,lava+xeno,7.63,0.1,1.16,4.15,0.85,0.01,0.57,0.76,0.89,0.41,1.24
31,52.47,0.807,4.12,19.49,4.57,0.0619,5.56,1.77,5.86,3.25,97.9589,mrwy249_amph5_1 ,MRWY249,EH,lava+xeno,7.55,0.14,1.15,4.18,0.84,0.01,0.6,0.81,0.9,0.39,1.19
32,52.1,0.9474,4.05,18.86,4.54,0.0639,6.36,1.36,5.89,3.77,97.9414,mrwy249_amph5_2 ,MRWY249,EH,lava+xeno,7.49,0.16,1.13,4.04,0.83,0.01,0.69,0.62,0.91,0.45,1.38
33,52.2,0.7749,4.16,19.31,4.58,0.0699,6.07,1.54,5.89,3.38,97.9749,mrwy249_amph5_3 ,MRWY249,EH,lava+xeno,7.51,0.13,1.16,4.14,0.84,0.01,0.66,0.7,0.91,0.41,1.3
34,51.99,1.0748,4.06,18.98,4.52,0.0487,6.02,1.62,6.05,3.47,97.8335,mrwy249_amph5_4 ,MRWY249,EH,lava+xeno,7.5,0.18,1.14,4.08,0.83,0.01,0.65,0.74,0.93,0.42,1.26
35,52.43,0.7051,4.27,18.54,4.6,0.074,6.44,1.26,5.64,3.99,97.9492,mrwy249_amph5_5 ,MRWY249,EH,lava+xeno,7.54,0.12,1.19,3.97,0.84,0.01,0.7,0.57,0.87,0.48,1.43
36,52.25,0.8079,4.09,19.47,4.52,0.0745,5.6,1.77,6.05,3.34,97.9724,mrwy249_amph6_1 ,MRWY249,EH,lava+xeno,7.53,0.14,1.14,4.18,0.83,0.01,0.61,0.81,0.93,0.4,1.19
37,52.1,0.8739,4,19.92,4.51,0.0686,5.5,1.92,6.13,3.15,98.1726,mrwy249_amph6_2 ,MRWY249,EH,lava+xeno,7.5,0.15,1.12,4.28,0.83,0.01,0.6,0.87,0.95,0.38,1.13
38,52.94,0.6595,4.1,19.86,4.63,0.0707,5.27,1.82,5.97,3.15,98.4703,mrwy249_amph6_3 ,MRWY249,EH,lava+xeno,7.58,0.11,1.14,4.24,0.85,0.01,0.57,0.82,0.92,0.38,1.18
39,52.36,0.8376,4.06,19.79,4.52,0.0356,5.3,1.79,6.07,3.07,97.8333,mrwy249_amph6_4 ,MRWY249,EH,lava+xeno,7.55,0.14,1.13,4.25,0.83,0,0.57,0.82,0.94,0.37,1.18
40,52.2,0.8245,4.09,19.51,4.55,0.0521,5.67,1.81,5.97,3.28,97.9567,mrwy249_amph6_5 ,MRWY249,EH,lava+xeno,7.53,0.14,1.14,4.19,0.84,0.01,0.62,0.83,0.92,0.4,1.17
41,52.56,0.9299,4,19.91,4.48,0.0589,5.1,1.86,6.36,2.89,98.1489,mrwy249_amph7_1 ,MRWY249,EH,lava+xeno,7.55,0.16,1.11,4.26,0.82,0.01,0.55,0.84,0.98,0.35,1.16
42,52.54,1.1038,3.93,20.24,4.37,0.0544,4.73,2.05,6.49,2.75,98.2583,mrwy249_amph7_2 ,MRWY249,EH,lava+xeno,7.54,0.19,1.09,4.33,0.8,0.01,0.51,0.93,1,0.33,1.07
43,53.46,0.8208,4.09,20.53,4.45,0.0714,4.32,2.22,6.31,2.68,98.9523,mrwy249_amph7_3 ,MRWY249,EH,lava+xeno,7.62,0.14,1.13,4.36,0.81,0.01,0.46,1,0.96,0.32,1
44,53.36,0.6926,4.13,20.7,4.59,0.0567,4.24,2.27,6.22,2.54,98.7993,mrwy249_amph7_4 ,MRWY249,EH,lava+xeno,7.63,0.12,1.14,4.41,0.84,0.01,0.46,1.03,0.95,0.3,0.97
45,51.98,1.0911,4.12,19.16,4.36,0.0682,6.03,1.62,6.3,3.51,98.2394,mrwy263_amph1_1 ,MRWY263,EH,lava+xeno,7.47,0.18,1.15,4.1,0.8,0.01,0.65,0.74,0.97,0.42,1.26
46,51.8,1.1542,4.1,19.09,4.37,0.0732,6,1.64,6.32,3.45,97.9974,mrwy263_amph1_2 ,MRWY263,EH,lava+xeno,7.46,0.2,1.15,4.1,0.8,0.01,0.65,0.75,0.98,0.42,1.25
47,52.69,0.9031,3.97,19.4,4.54,0.0442,5.66,1.58,6.02,3.19,97.9974,mrwy263_amph2_1 ,MRWY263,EH,lava+xeno,7.56,0.15,1.1,4.15,0.83,0.01,0.61,0.72,0.93,0.38,1.28
48,52.76,0.85,4.07,19.9,4.49,0.0744,5.44,1.91,6.13,2.89,98.5145,mrwy263_amph2_2 ,MRWY263,EH,lava+xeno,7.55,0.14,1.13,4.25,0.82,0.01,0.59,0.86,0.94,0.35,1.14
