   No. ,   SiO2  ,   Al2O3 ,   Na2O  ,   F     ,   K2O   ,   MnO   ,   CaO   ,   MgO   ,   TiO2  ,   FeO   ,   Cr2O3 ,   NiO   ,   Cl    ,   Rb2O  ,   BaO   ,  Total  ,Comment  ,Location,Sample,type,   Si  ,   Al,   Na  ,   K,   Mn ,   Ca,   Mg ,   Ti ,   Fe,   Cr,   Ni   ,   Rb ,   Ba   ,   Cl    ,   F     ,OH
97,41.08,12.62,0.3,1.06,10.66,0.01,0,25.36,2.19,3,0.13,0,0,0,0.76,96.28,mrwy12_phl1_1 ,HM,MRWY12,lava,5.75,2.08,0.08,1.9,0,0,5.29,0.35,0.35,0.01,0,0,0.04,0,0.47,3.53
98,41.74,12.16,0.31,1.05,10.55,0.03,0,25.27,2.6,3.48,0.78,0.08,0.01,0,0.95,97.19,mrwy12_phl1_2 ,HM,MRWY12,lava,5.75,1.97,0.08,1.85,0,0,5.19,0.4,0.4,0.08,0.01,0,0.05,0,0.46,3.54
99,41.99,12.1,0.26,1.19,10.72,0.02,0,25.4,2.6,3.29,1.2,0.33,0,0,0.94,97.57,mrwy12_phl1_3 ,HM,MRWY12,lava,5.74,1.95,0.07,1.87,0,0,5.17,0.4,0.38,0.13,0.04,0,0.05,0,0.51,3.49
100,42.05,12.28,0.3,1.08,10.69,0.01,0.01,25.42,2.47,3.08,1.01,0.31,0.01,0,0.84,97.4,mrwy12_phl1_4 ,HM,MRWY12,lava,5.75,1.98,0.08,1.87,0,0,5.19,0.38,0.35,0.11,0.03,0,0.04,0,0.47,3.53
101,40.95,12.53,0.28,1.84,10.6,0.01,0.01,25.32,2.08,3.05,0.66,0.21,0,0,0.84,96.67,mrwy12_phl1_5 ,HM,MRWY12,lava,5.72,2.06,0.08,1.89,0,0,5.28,0.33,0.36,0.07,0.02,0,0.05,0,0.81,3.19
102,41.36,12.59,0.23,1.39,10.62,0.03,0,24.88,2.22,2.97,0.51,0.08,0,0,0.84,96.29,mrwy12_phl1_6 ,HM,MRWY12,lava,5.77,2.07,0.06,1.89,0,0,5.18,0.35,0.35,0.06,0.01,0,0.05,0,0.61,3.39
103,41.72,11.95,0.28,0.91,10.65,0.04,0.01,24.97,2.85,3.99,1.02,0.22,0.01,0,0.96,97.36,mrwy12_phl1_7 ,HM,MRWY12,lava,5.72,1.93,0.07,1.86,0,0,5.11,0.44,0.46,0.11,0.02,0,0.05,0,0.39,3.6
104,41.56,12.6,0.28,1,10.58,0.01,0,25.66,2.33,2.91,0.66,0.17,0.01,0,0.89,96.93,mrwy12_phl1_8 ,HM,MRWY12,lava,5.73,2.05,0.07,1.86,0,0,5.27,0.36,0.34,0.07,0.02,0,0.05,0,0.44,3.56
105,41.16,12.32,0.29,0.98,10.56,0.02,0,24.4,3.39,4.31,0.37,0.27,0.01,0,0.86,97.44,mrwy12_phl1_9 ,HM,MRWY12,lava,5.67,2,0.08,1.86,0,0,5.01,0.53,0.5,0.04,0.03,0,0.05,0,0.43,3.57
106,40.87,12.65,0.37,1.09,10.53,0.03,0,25.06,2.21,2.93,0.88,0.04,0.01,0,0.99,95.75,mrwy12_phl1_10 ,HM,MRWY12,lava,5.71,2.08,0.1,1.88,0,0,5.22,0.35,0.34,0.1,0,0,0.05,0,0.48,3.52
107,41.11,12.77,0.28,1.31,10.43,0,0.01,24.85,2.23,2.91,1.14,0.16,0.02,0,0.68,95.9,mrwy12_phl1_11 ,HM,MRWY12,lava,5.72,2.1,0.08,1.85,0,0,5.16,0.35,0.34,0.12,0.02,0,0.04,0,0.58,3.42
108,38.7,9.47,0.55,1.63,9.07,0.07,0,17.01,10.91,8.37,1.21,0.22,0.02,0,0.76,95.79,mrwy12_phl1_12 ,HM,MRWY12,lava,5.34,1.54,0.15,1.6,0.01,0,3.5,1.7,0.97,0.13,0.02,0,0.04,0,0.71,3.29
109,38.35,9.41,0.57,1.5,9.21,0.06,0.02,16.73,11,8.57,0.68,0.16,0.01,0,0.96,95.41,mrwy12_phl1_13 ,HM,MRWY12,lava,5.34,1.54,0.15,1.64,0.01,0,3.47,1.73,1,0.07,0.02,0,0.05,0,0.66,3.34
110,38.41,9.52,0.53,1.57,9.16,0.07,0.03,17.28,10.55,8.05,0.26,0.02,0,0,0.67,95.16,mrwy12_phl1_14 ,HM,MRWY12,lava,5.38,1.57,0.14,1.64,0.01,0,3.61,1.67,0.94,0.03,0,0,0.04,0,0.7,3.3
112,38.4,9.65,0.46,1.77,9.38,0.04,0.17,17,10.04,8.49,0.55,0.07,0,0,0.75,95.39,mrwy12_phl1_16 ,HM,MRWY12,lava,5.39,1.6,0.12,1.68,0,0.02,3.56,1.59,1,0.06,0.01,0,0.04,0,0.79,3.21
113,40.96,12.5,0.26,1.41,10.57,0.03,0,24.81,2.26,2.95,0.72,0.24,0.02,0,0.88,95.75,mrwy12_phl1 Line 001 ,HM,MRWY12,lava,5.74,2.06,0.07,1.89,0,0,5.18,0.36,0.35,0.08,0.03,0,0.05,0,0.62,3.37
114,40.81,12.36,0.25,1.59,10.48,0.01,0,25.12,2.17,2.81,0.88,0,0,0,0.87,95.6,mrwy12_phl1 Line 002 ,HM,MRWY12,lava,5.74,2.05,0.07,1.88,0,0,5.26,0.34,0.33,0.1,0,0,0.05,0,0.71,3.29
115,41.07,12.66,0.22,1.8,10.61,0.02,0,24.83,2.23,2.91,0.89,0.11,0.01,0,0.73,96.35,mrwy12_phl1 Line 003 ,HM,MRWY12,lava,5.74,2.09,0.06,1.89,0,0,5.17,0.35,0.34,0.1,0.01,0,0.04,0,0.8,3.2
116,41,12.5,0.23,2.1,10.72,0.03,0.01,24.7,2.24,3.24,0.6,0.11,0.01,0,0.77,96.77,mrwy12_phl1 Line 004 ,HM,MRWY12,lava,5.75,2.07,0.06,1.92,0,0,5.16,0.35,0.38,0.07,0.01,0,0.04,0,0.93,3.07
117,41.12,12.6,0.2,2.41,10.66,0,0,24.73,2.2,3.04,0.56,0.1,0,0,0.86,96.97,mrwy12_phl1 Line 005 ,HM,MRWY12,lava,5.76,2.08,0.05,1.91,0,0,5.17,0.35,0.36,0.06,0.01,0,0.05,0,1.07,2.93
118,40.8,12.54,0.25,2.58,10.61,0.03,0.02,24.62,2.21,3.12,1.09,0.18,0,0,0.79,96.77,mrwy12_phl1 Line 006 ,HM,MRWY12,lava,5.72,2.07,0.07,1.9,0,0,5.15,0.35,0.37,0.12,0.02,0,0.04,0,1.14,2.85
119,41.32,11.96,0.25,2.71,10.55,0.02,0.01,24.89,2.27,3.31,0.58,0.08,0.01,0,0.81,97.29,mrwy12_phl1 Line 007 ,HM,MRWY12,lava,5.8,1.98,0.07,1.89,0,0,5.2,0.36,0.39,0.06,0.01,0,0.04,0,1.2,2.8
120,40.43,12.04,0.27,2.85,10.48,0.03,0,23.72,2.95,4.61,0.16,0.04,0.01,0,0.95,97.37,mrwy12_phl1 Line 008 ,HM,MRWY12,lava,5.72,2.01,0.07,1.89,0,0,5,0.47,0.55,0.02,0,0,0.05,0,1.27,2.72
121,38.52,9.5,0.44,1.48,9.12,0.06,0,17.59,10.77,7.7,0.19,0.03,0.01,0,0.83,95.18,mrwy12_phl1 Line 009 ,HM,MRWY12,lava,5.37,1.56,0.12,1.62,0.01,0,3.66,1.7,0.9,0.02,0,0,0.05,0,0.65,3.34
122,38.66,9.54,0.43,1.56,9.2,0.06,0.01,17.86,10.57,7.48,0.2,0,0,0,0.83,95.37,mrwy12_phl1 Line 010 ,HM,MRWY12,lava,5.39,1.57,0.12,1.64,0.01,0,3.71,1.66,0.87,0.02,0,0,0.05,0,0.69,3.31
123,38.62,9.39,0.43,1.61,9.17,0.04,0.01,17.9,10.57,7.48,0.12,0,0.01,0,0.98,95.23,mrwy12_phl1 Line 011 ,HM,MRWY12,lava,5.4,1.55,0.12,1.63,0.01,0,3.73,1.67,0.87,0.01,0,0,0.05,0,0.71,3.29
124,38.59,9.49,0.47,1.6,9.38,0.04,0.02,17.8,10.45,7.64,0.28,0,0.01,0,1.04,95.48,mrwy12_phl1 Line 012 ,HM,MRWY12,lava,5.38,1.56,0.13,1.67,0,0,3.7,1.65,0.89,0.03,0,0,0.06,0,0.71,3.29
125,38.44,9.33,0.49,1.67,9.24,0.05,0.02,17.06,10.58,8.37,0.05,0,0.01,0,4.28,95.26,mrwy12_phl1 Line 013 ,HM,MRWY12,lava,5.36,1.53,0.13,1.64,0.01,0,3.54,1.66,0.98,0.01,0,0,0.23,0,0.74,3.26
126,38.24,9.33,0.52,1.75,9.11,0.07,0.04,16.09,10.47,9.3,0.03,0,0.01,0,3.65,94.93,mrwy12_phl1 Line 014 ,HM,MRWY12,lava,5.38,1.55,0.14,1.64,0.01,0.01,3.38,1.66,1.1,0,0,0,0.2,0,0.78,3.22
127,37.48,9.36,0.52,1.52,9.02,0.1,0.07,14.73,10.66,10.52,0.76,0.09,0,0,0.92,93.98,mrwy12_phl1 Line 015 ,HM,MRWY12,lava,5.35,1.58,0.14,1.64,0.01,0.01,3.14,1.72,1.26,0.09,0.01,0,0.05,0,0.69,3.31
128,40.38,12.48,0.21,1.66,10.56,0.02,0.02,24.35,2.1,2.88,0.79,0.12,0.01,0,0.82,94.65,mrwy12_phl2_1 ,HM,MRWY12,lava,5.75,2.09,0.06,1.92,0,0,5.17,0.34,0.34,0.09,0.01,0,0.05,0,0.75,3.25
129,40.68,12.65,0.32,1.09,10.42,0.02,0,24.07,2.13,2.77,1.18,0.27,0,0,0.9,94.15,mrwy12_phl2_2 ,HM,MRWY12,lava,5.75,2.11,0.09,1.88,0,0,5.07,0.34,0.33,0.13,0.03,0,0.05,0,0.49,3.51
130,40.97,12.89,0.29,1.01,10.36,0.02,0.02,24.18,2.17,2.79,1.15,0.26,0,0,0.75,94.7,mrwy12_phl2_3 ,HM,MRWY12,lava,5.75,2.13,0.08,1.85,0,0,5.06,0.34,0.33,0.13,0.03,0,0.04,0,0.45,3.55
131,41.15,12.07,0.29,1.07,10.45,0.01,0.01,24.8,2.15,2.71,0.95,0.18,0.01,0,0.76,94.72,mrwy12_phl2_4 ,HM,MRWY12,lava,5.79,2,0.08,1.88,0,0,5.21,0.34,0.32,0.11,0.02,0,0.04,0,0.48,3.52
132,40.61,12.54,0.3,0.95,10.48,0.01,0.02,24.5,2.13,2.7,1.25,0.18,0,0,1.09,94.23,mrwy12_phl2_5 ,HM,MRWY12,lava,5.73,2.08,0.08,1.89,0,0,5.15,0.34,0.32,0.14,0.02,0,0.06,0,0.42,3.58
133,40.82,12.57,0.22,1.67,10.62,0.01,0.04,24.96,2.11,2.8,1.3,0.23,0.01,0,0.78,95.82,mrwy12_phl2_6 ,HM,MRWY12,lava,5.71,2.07,0.06,1.9,0,0.01,5.21,0.33,0.33,0.14,0.03,0,0.04,0,0.74,3.26
134,40.67,12.54,0.3,0.99,10.6,0.02,0.01,24.45,2.01,2.73,1.12,0.27,0.01,0,0.74,94.32,mrwy12_phl2_7 ,HM,MRWY12,lava,5.75,2.09,0.08,1.91,0,0,5.15,0.32,0.32,0.13,0.03,0,0.04,0,0.44,3.55
135,40.63,12.41,0.21,1.39,10.67,0.02,0.01,24.85,2.17,2.75,0.99,0.23,0,0,0.87,95.1,mrwy12_phl2_8 ,HM,MRWY12,lava,5.72,2.06,0.06,1.92,0,0,5.22,0.34,0.32,0.11,0.03,0,0.05,0,0.62,3.38
136,41.33,12.1,0.31,1.32,10.55,0.02,0,24.82,2.33,3.06,1.07,0.11,0.01,0,0.9,95.84,mrwy12_phl2_9 ,HM,MRWY12,lava,5.77,1.99,0.08,1.88,0,0,5.16,0.37,0.36,0.12,0.01,0,0.05,0,0.58,3.42
137,40.82,12.84,0.28,1.22,10.46,0.03,0,24.17,2.18,2.74,1.31,0.16,0.01,0,0.95,94.74,mrwy12_phl2_10 ,HM,MRWY12,lava,5.73,2.13,0.08,1.87,0,0,5.06,0.35,0.32,0.15,0.02,0,0.05,0,0.54,3.46
138,39.61,11.9,0.26,1.69,10.48,0.02,0.03,25.28,1.99,3.02,1.54,0.12,0.01,0,0.71,94.28,mrwy12_phl2_11 ,HM,MRWY12,lava,5.65,2,0.07,1.91,0,0,5.38,0.32,0.36,0.17,0.01,0,0.04,0,0.76,3.24
139,40.44,12.74,0.24,1.36,10.52,0.02,0.01,24.47,2.12,2.81,0.81,0.1,0.01,0,0.55,94.73,mrwy12_phl2_12 ,HM,MRWY12,lava,5.73,2.13,0.07,1.9,0,0,5.17,0.34,0.33,0.09,0.01,0,0.03,0,0.61,3.39
140,37.92,10.01,0.53,2.06,9.1,0.06,0.04,17.44,9.72,7.44,1.53,0.11,0.01,0,0.9,94.32,mrwy12_phl2_13 ,HM,MRWY12,lava,5.34,1.66,0.15,1.63,0.01,0.01,3.66,1.54,0.88,0.17,0.01,0,0.05,0,0.92,3.08
141,37.82,9.17,0.52,1.6,9.05,0.06,0.01,15.91,11.26,9.01,1.57,0.32,0,0,0.8,94.42,mrwy12_phl2_14 ,HM,MRWY12,lava,5.29,1.51,0.14,1.61,0.01,0,3.32,1.78,1.05,0.17,0.04,0,0.04,0,0.71,3.29
142,41,12.56,0.21,1.79,10.85,0.01,0.01,24.84,2.2,3.54,1.49,0.13,0.01,0,0.76,97.01,mrwy12_phl3 Line 001 ,HM,MRWY12,lava,5.69,2.05,0.06,1.92,0,0,5.14,0.34,0.41,0.16,0.01,0,0.04,0,0.79,3.21
143,40.61,12.38,0.23,1.98,10.68,0.04,0.01,24.62,2.16,4.41,1.5,0.2,0,0,0.88,97.12,mrwy12_phl3 Line 002 ,HM,MRWY12,lava,5.66,2.03,0.06,1.9,0,0,5.12,0.34,0.51,0.17,0.02,0,0.05,0,0.87,3.13
144,40.4,12.24,0.22,2.07,10.57,0.03,0.01,24.48,2.2,4.88,1.56,0.15,0.01,0,0.89,97.1,mrwy12_phl3 Line 003 ,HM,MRWY12,lava,5.65,2.02,0.06,1.89,0,0,5.1,0.35,0.57,0.17,0.02,0,0.05,0,0.92,3.08
145,40.37,12.19,0.23,2.16,10.46,0.03,0,24.34,2.19,5.38,1.54,0.16,0.01,0,0.79,97.35,mrwy12_phl3 Line 004 ,HM,MRWY12,lava,5.65,2.01,0.06,1.87,0,0,5.08,0.35,0.63,0.17,0.02,0,0.04,0,0.96,3.04
146,40.3,12.15,0.21,2.46,10.57,0.04,0.01,24.44,2.23,5.2,1.56,0.35,0.01,0,0.82,97.61,mrwy12_phl3 Line 005 ,HM,MRWY12,lava,5.64,2,0.06,1.89,0.01,0,5.09,0.35,0.61,0.17,0.04,0,0.04,0,1.09,2.91
147,40.29,12.21,0.21,2.41,10.59,0.04,0.01,24.43,2.28,5.06,1.54,0.36,0.01,0,0.89,97.53,mrwy12_phl3 Line 006 ,HM,MRWY12,lava,5.63,2.01,0.06,1.89,0,0,5.09,0.36,0.59,0.17,0.04,0,0.05,0,1.07,2.93
148,40.44,12.17,0.21,3.03,10.55,0.03,0.01,24.49,2.26,5.04,1.51,0.04,0.01,0,0.9,98.23,mrwy12_phl3 Line 007 ,HM,MRWY12,lava,5.65,2.01,0.06,1.88,0,0,5.1,0.36,0.59,0.17,0,0,0.05,0,1.34,2.66
149,40.61,12.03,0.21,2.9,10.61,0.03,0.01,24.45,2.33,4.99,1.53,0.16,0,0,1.02,98.17,mrwy12_phl3 Line 008 ,HM,MRWY12,lava,5.66,1.98,0.06,1.89,0,0,5.08,0.37,0.58,0.17,0.02,0,0.06,0,1.28,2.72
150,41.04,11.81,0.26,3.35,10.81,0.02,0.01,24.49,2.46,4.46,1.57,0.17,0,0,0.84,98.71,mrwy12_phl3 Line 009 ,HM,MRWY12,lava,5.71,1.94,0.07,1.92,0,0,5.08,0.39,0.52,0.17,0.02,0,0.05,0,1.47,2.53
151,40.51,11.65,0.35,3.6,10.63,0.03,0.01,23.92,2.77,4.98,1.58,0.18,0,0,0.86,98.45,mrwy12_phl3 Line 010 ,HM,MRWY12,lava,5.67,1.92,0.1,1.9,0,0,4.99,0.44,0.58,0.17,0.02,0,0.05,0,1.59,2.41
152,39.87,10.72,0.35,2.76,10.13,0.07,0.01,21.21,6.09,6.21,1.54,0.22,0.01,0,0.99,97.42,mrwy12_phl3 Line 011 ,HM,MRWY12,lava,5.53,1.75,0.1,1.79,0.01,0,4.39,0.95,0.72,0.17,0.02,0,0.05,0,1.21,2.79
153,38.95,9.68,0.41,1.89,9.44,0.02,0.01,17.57,10.45,8.11,1.57,0.33,0,0,1.08,96.53,mrwy12_phl3 Line 012 ,HM,MRWY12,lava,5.34,1.56,0.11,1.65,0,0,3.59,1.62,0.93,0.17,0.04,0,0.06,0,0.82,3.18
154,38.52,9.41,0.45,1.6,9.18,0.06,0.01,17.05,10.96,8.4,1.54,0.13,0.01,0,1.01,95.64,mrwy12_phl3 Line 013 ,HM,MRWY12,lava,5.31,1.53,0.12,1.62,0.01,0,3.51,1.71,0.97,0.17,0.01,0,0.05,0,0.7,3.3
155,38.71,9.36,0.49,1.6,9.29,0.06,0.03,17.18,10.98,8.27,1.57,0.2,0.01,0,1,95.97,mrwy12_phl3 Line 014 ,HM,MRWY12,lava,5.32,1.52,0.13,1.63,0.01,0,3.52,1.7,0.95,0.17,0.02,0,0.05,0,0.7,3.3
156,38.94,9.32,0.53,1.63,9.17,0.08,0.02,17.23,11.01,8.17,1.55,0.25,0.01,0,0.96,96.09,mrwy12_phl3 Line 015 ,HM,MRWY12,lava,5.33,1.5,0.14,1.6,0.01,0,3.52,1.7,0.94,0.17,0.03,0,0.05,0,0.71,3.29
157,38.67,9.44,0.51,1.44,9.22,0.06,0.02,17.25,10.94,8.34,1.53,0.19,0.01,0,1.09,95.89,mrwy12_phl3 Line 016 ,HM,MRWY12,lava,5.31,1.53,0.14,1.61,0.01,0,3.53,1.69,0.96,0.17,0.02,0,0.06,0,0.63,3.37
158,38.79,9.43,0.55,1.8,9.3,0.08,0.02,17.3,10.86,8.22,1.53,0.12,0.01,0,0.92,96.35,mrwy12_phl3 Line 017 ,HM,MRWY12,lava,5.33,1.53,0.15,1.63,0.01,0,3.54,1.68,0.94,0.17,0.01,0,0.05,0,0.78,3.22
159,38.61,9.46,0.56,1.89,9.31,0.07,0.01,17.37,10.86,8.29,1.52,0.11,0.01,0,1.03,96.43,mrwy12_phl3 Line 018 ,HM,MRWY12,lava,5.3,1.53,0.15,1.63,0.01,0,3.56,1.68,0.95,0.17,0.01,0,0.06,0,0.82,3.18
160,38.3,9.41,0.54,2.14,9.21,0.06,0.01,17.44,10.8,8.2,1.55,0.08,0.01,0,1.05,96.12,mrwy12_phl3 Line 019 ,HM,MRWY12,lava,5.29,1.53,0.14,1.62,0.01,0,3.59,1.68,0.95,0.17,0.01,0,0.06,0,0.94,3.06
161,38.82,9.5,0.47,1.83,9.32,0.07,0.02,17.45,10.76,8.11,1.52,0.08,0.01,0,0.95,96.35,mrwy12_phl3 Line 020 ,HM,MRWY12,lava,5.33,1.54,0.12,1.63,0.01,0,3.57,1.67,0.93,0.17,0.01,0,0.05,0,0.79,3.2
162,41.34,12.52,0.2,2.14,10.97,0.03,0.01,24.91,2.11,4.24,1.51,0.09,0,0,0.82,98.47,mrwy12_phl4_1 ,HM,MRWY12,lava,5.7,2.03,0.05,1.93,0,0,5.12,0.33,0.49,0.16,0.01,0,0.04,0,0.93,3.07
163,41.33,12.53,0.17,2.26,10.81,0.03,0.02,24.8,2.28,4.08,1.51,0.1,0.01,0,1.08,98.31,mrwy12_phl4_2 ,HM,MRWY12,lava,5.69,2.03,0.04,1.9,0,0,5.09,0.35,0.47,0.16,0.01,0,0.06,0,0.98,3.01
164,41.76,12.31,0.21,2.18,10.92,0.02,0,25.34,1.92,3.55,1.49,0.25,0,0,1.09,98.21,mrwy12_phl4_3 ,HM,MRWY12,lava,5.74,2,0.06,1.92,0,0,5.2,0.3,0.41,0.16,0.03,0,0.06,0,0.95,3.05
165,40.64,12.62,0.18,1.7,10.64,0.03,0.78,24.38,2.07,4.18,1.5,0.11,0.01,0,1.11,97.22,mrwy12_phl4_4 ,HM,MRWY12,lava,5.65,2.07,0.05,1.89,0,0.12,5.05,0.32,0.49,0.16,0.01,0,0.06,0,0.75,3.25
166,36.32,19.58,0.24,1.1,10.68,0.03,0,20.8,1.19,6.97,1.48,0.05,0,0,1.14,96.9,mrwy12_phl4_5 ,HM,MRWY12,lava,5.12,3.25,0.07,1.92,0,0,4.37,0.19,0.82,0.17,0.01,0,0.06,0,0.49,3.51
167,38.66,16.18,0.39,1.05,10.62,0.02,0.03,22.86,2.27,4.5,1.4,0.1,0.01,0,1.36,96.58,mrwy12_phl4_6 ,HM,MRWY12,lava,5.37,2.65,0.1,1.88,0,0,4.73,0.36,0.52,0.15,0.01,0,0.07,0,0.46,3.54
168,36.51,19.72,0.18,1.68,10.76,0.03,0,20.92,0.84,7.04,1.25,0.17,0,0,1.78,97.68,mrwy12_phl4_7 ,HM,MRWY12,lava,5.14,3.27,0.05,1.93,0,0,4.39,0.13,0.83,0.14,0.02,0,0.1,0,0.75,3.25
169,38.83,9.51,0.48,1.58,9.16,0.07,0.02,17.64,10.57,7.99,1.02,0.04,0.01,0,2.76,95.85,mrwy12_phl4_8 ,HM,MRWY12,lava,5.34,1.54,0.13,1.61,0.01,0,3.62,1.64,0.92,0.11,0,0,0.15,0,0.69,3.31
170,38.91,9.59,0.44,1.71,9.42,0.07,0,17.85,10.61,8.19,0.8,0.2,0.01,0,2.94,96.8,mrwy12_phl4_9 ,HM,MRWY12,lava,5.32,1.54,0.12,1.64,0.01,0,3.64,1.64,0.94,0.09,0.02,0,0.16,0,0.74,3.26
171,38.59,9.27,0.49,1.28,9.23,0.1,0.06,16.27,11.56,9.47,0.54,0,0,0,3.12,96.32,mrwy12_phl4_10 ,HM,MRWY12,lava,5.3,1.5,0.13,1.62,0.01,0.01,3.33,1.79,1.09,0.06,0,0,0.17,0,0.56,3.44
172,38.77,9.1,0.63,1.44,9.17,0.06,0.08,16.11,11.55,9.66,0.45,0.04,0,0,4.29,96.57,mrwy12_phl4_11 ,HM,MRWY12,lava,5.31,1.47,0.17,1.6,0.01,0.01,3.29,1.79,1.11,0.05,0,0,0.23,0,0.62,3.38
173,38.95,9.58,0.51,1.63,9.39,0.05,0.02,17.28,10.69,8.47,0.39,0.13,0,0,3.75,96.58,mrwy12_phl4_12 ,HM,MRWY12,lava,5.34,1.55,0.14,1.64,0.01,0,3.53,1.65,0.97,0.04,0.01,0,0.2,0,0.71,3.29
174,39.42,7.92,0.47,1.14,9.35,0.07,0.3,14.08,12.51,11.66,0.35,0.07,0.01,0,4.47,96.92,mrwy12_phl4_13 ,HM,MRWY12,lava,5.39,1.28,0.12,1.63,0.01,0.04,2.87,1.93,1.33,0.04,0.01,0,0.24,0,0.49,3.5
175,40.96,12.91,0.6,0.93,10.34,0.04,0.03,23.26,2.09,2.97,0.35,0,0.01,0,5.05,94.14,mrwy12_phl5_1 ,HM,MRWY12,lava,5.77,2.14,0.16,1.86,0.01,0,4.88,0.33,0.35,0.04,0,0,0.28,0,0.42,3.58
176,40.82,12.59,0.32,0.91,10.67,0.02,0.02,24.61,2.09,2.85,0.33,0.04,0.01,0,3.97,94.9,mrwy12_phl5_2 ,HM,MRWY12,lava,5.73,2.08,0.09,1.91,0,0,5.15,0.33,0.33,0.04,0,0,0.22,0,0.4,3.6
177,40.7,12.76,0.29,1.09,10.6,0.02,0,24.25,2.09,2.86,0.32,0.25,0.02,0,0,94.66,mrwy12_phl5_3 ,HM,MRWY12,lava,5.78,2.14,0.08,1.92,0,0,5.14,0.34,0.34,0.04,0.03,0,0,0,0.49,3.51
178,41.22,12.76,0.33,1.11,10.7,0.02,0,24.86,2.17,2.98,0.32,0.08,0.01,0,4.44,96.16,mrwy12_phl5_4 ,HM,MRWY12,lava,5.71,2.08,0.09,1.89,0,0,5.13,0.34,0.35,0.03,0.01,0,0.24,0,0.49,3.51
179,41,12.73,0.28,1.19,10.64,0,0.01,24.42,2.11,2.94,0.32,0.08,0.01,0,4.32,95.32,mrwy12_phl5_5 ,HM,MRWY12,lava,5.73,2.1,0.08,1.9,0,0,5.09,0.33,0.34,0.03,0.01,0,0.24,0,0.53,3.47
180,40.89,12.66,0.27,1.37,10.68,0,0,24.79,2.09,2.92,0.31,0.16,0.01,0,5.54,95.68,mrwy12_phl5_6 ,HM,MRWY12,lava,5.69,2.08,0.07,1.9,0,0,5.14,0.33,0.34,0.03,0.02,0,0.3,0,0.6,3.4
181,40.68,12.55,0.39,1.07,10.53,0.01,0,24.64,2.12,2.76,0.29,0.07,0.01,0,4.26,94.75,mrwy12_phl5_7 ,HM,MRWY12,lava,5.72,2.08,0.11,1.89,0,0,5.16,0.34,0.32,0.03,0.01,0,0.23,0,0.48,3.52
182,40.85,12.7,0.38,1.22,10.75,0.04,0.02,24.12,2.12,2.85,0.3,0.27,0.01,0,4.29,95.05,mrwy12_phl5_8 ,HM,MRWY12,lava,5.73,2.1,0.1,1.92,0,0,5.04,0.34,0.33,0.03,0.03,0,0.24,0,0.54,3.46
183,41.04,12.44,0.3,1.07,10.66,0.02,0.02,25.27,2.07,3.01,0.3,0,0.01,0,4.6,95.89,mrwy12_phl6_1 ,HM,MRWY12,lava,5.71,2.04,0.08,1.89,0,0,5.24,0.32,0.35,0.03,0,0,0.25,0,0.47,3.53
184,41.09,12.48,0.24,1.34,10.8,0.02,0.01,25.28,2.09,3.07,0.32,0,0.01,0,4.11,96.42,mrwy12_phl6_2 ,HM,MRWY12,lava,5.71,2.04,0.06,1.91,0,0,5.24,0.33,0.36,0.03,0,0,0.22,0,0.59,3.41
185,41.38,12.59,0.29,1.33,10.74,0.02,0.01,25.24,2.11,3.21,0.3,0.1,0.01,0,5.23,96.92,mrwy12_phl6_3 ,HM,MRWY12,lava,5.7,2.04,0.08,1.89,0,0,5.18,0.33,0.37,0.03,0.01,0,0.28,0,0.58,3.42
186,40.92,12.48,0.35,1.1,10.69,0.05,0.01,25.35,2.15,3.04,0.32,0.01,0,0,5.07,96.13,mrwy12_phl6_4 ,HM,MRWY12,lava,5.67,2.04,0.09,1.89,0.01,0,5.24,0.34,0.35,0.04,0,0,0.28,0,0.48,3.52
187,41.34,12.21,0.29,2.02,10.93,0.02,0.02,25.66,2.08,3.03,0.29,0,0,0,4.7,97.59,mrwy12_phl6_5 ,HM,MRWY12,lava,5.71,1.99,0.08,1.93,0,0,5.29,0.32,0.35,0.03,0,0,0.25,0,0.88,3.12
188,41.15,12.23,0.3,1.51,10.77,0.02,0.02,25.45,2.06,3.1,0.29,0.13,0,0,5.24,96.61,mrwy12_phl6_6 ,HM,MRWY12,lava,5.7,2,0.08,1.9,0,0,5.26,0.32,0.36,0.03,0.01,0,0.28,0,0.66,3.34
189,38.88,9.58,0.59,1.83,9.28,0.04,0.01,16.51,10.68,8.45,0.29,0.17,0.01,0,4.94,95.85,mrwy12_phl6_7 ,HM,MRWY12,lava,5.36,1.56,0.16,1.63,0.01,0,3.4,1.66,0.98,0.03,0.02,0,0.27,0,0.8,3.2
190,38.76,9.57,0.53,1.74,9.3,0.04,0.02,18.05,10.64,7.84,0.3,0.07,0.01,0,5.14,96.49,mrwy12_phl6_8 ,HM,MRWY12,lava,5.3,1.54,0.14,1.62,0,0,3.68,1.64,0.9,0.03,0.01,0,0.28,0,0.75,3.25
191,38.72,9.52,0.57,1.65,9.27,0.06,0.59,17.53,10.57,7.46,0.29,0,0.01,0,5,95.93,mrwy12_phl6_9 ,HM,MRWY12,lava,5.33,1.54,0.15,1.63,0.01,0.09,3.59,1.64,0.86,0.03,0,0,0.27,0,0.72,3.28
