   No. ,   SiO2  ,   Al2O3 ,   Na2O  ,   F     ,   K2O   ,   MnO   ,   CaO   ,   MgO   ,   TiO2  ,   FeO   ,   Cr2O3 ,   NiO   ,   Cl    ,   Rb2O  ,   BaO   ,  Total  ,Comment  ,Location,Sample,type,   Si  ,   Al,   Na  ,   K,   Mn ,   Ca,   Mg ,   Ti ,   Fe,   Cr,   Ni   ,   Rb ,   Ba   ,   Cl    ,   F     ,OH
24,41.11,12.42,0.19,1.26,10.83,0.01,0,24.73,2.48,3.09,1.23,0.12,0.01,0.03,0.85,96.12,mrwy54_phl2_11 ,ZM,MRWY54,lava,5.72,2.04,0.05,1.92,0,0,5.13,0.39,0.36,0.13,0.01,0,0.05,0,0.55,3.44
25,41.36,12.03,0.14,1.7,10.72,0.04,0,25.56,2.3,3.23,1.29,0.02,0,0,0.83,97.08,mrwy54_phl2_12 ,ZM,MRWY54,lava,5.73,1.96,0.04,1.89,0,0,5.28,0.36,0.37,0.14,0,0,0.04,0,0.74,3.26
26,41.29,12.4,0.13,1.3,10.89,0,0,24.74,2.56,3.16,1.28,0,0,0,0.95,96.48,mrwy54_phl2_13 ,ZM,MRWY54,lava,5.72,2.03,0.03,1.93,0,0,5.11,0.4,0.37,0.14,0,0,0.05,0,0.57,3.43
27,41.07,12.05,0.13,1.41,10.7,0.02,0.56,24.57,2.53,3.19,1.28,0.04,0,0.04,1.01,96.23,mrwy54_phl2_14 ,ZM,MRWY54,lava,5.72,1.98,0.04,1.9,0,0.08,5.1,0.4,0.37,0.14,0,0,0.06,0,0.62,3.38
28,41.32,12.2,0.16,1.46,10.73,0.01,0.01,24.81,2.55,3.18,1.3,0.1,0,0.02,0.85,96.43,mrwy54_phl2_15 ,ZM,MRWY54,lava,5.73,1.99,0.04,1.9,0,0,5.13,0.4,0.37,0.14,0.01,0,0.05,0,0.64,3.36
29,41.13,12.12,0.14,1.49,10.79,0.04,0.02,25.21,2.29,3.07,1.3,0,0,0.03,0.82,96.3,mrwy54_phl3_1 ,ZM,MRWY54,lava,5.73,1.99,0.04,1.92,0,0,5.23,0.36,0.36,0.14,0,0,0.04,0,0.66,3.34
30,40.97,11.83,0.13,1.44,10.72,0.01,0,25.23,2.63,3.39,1.27,0.12,0,0.01,0.98,96.34,mrwy54_phl3_2 ,ZM,MRWY54,lava,5.7,1.94,0.03,1.9,0,0,5.23,0.41,0.39,0.14,0.01,0,0.05,0,0.63,3.37
31,41.06,11.9,0.14,1.56,10.62,0.01,0,25.55,2.55,3.33,1.3,0.24,0.01,0.01,0.93,96.73,mrwy54_phl3_3 ,ZM,MRWY54,lava,5.69,1.94,0.04,1.88,0,0,5.28,0.4,0.39,0.14,0.03,0,0.05,0,0.68,3.32
32,41.24,12.05,0.13,1.62,10.62,0.03,0.02,25.32,2.45,3.23,1.17,0.13,0,0.03,0.83,96.7,mrwy54_phl3_4 ,ZM,MRWY54,lava,5.72,1.97,0.04,1.88,0,0,5.24,0.38,0.37,0.13,0.01,0,0.04,0,0.71,3.29
33,41.17,11.71,0.13,1.49,10.78,0.05,0.01,25.31,2.6,3.37,0.31,0,0,0.02,0.87,96.62,mrwy54_phl3_5 ,ZM,MRWY54,lava,5.76,1.93,0.04,1.92,0.01,0,5.28,0.41,0.39,0.03,0,0,0.05,0,0.66,3.34
34,40.88,12.19,0.13,1.53,10.63,0.04,0.01,25.08,2.07,2.66,0.36,0,0,0.04,0.95,95.22,mrwy54_phl3_6 ,ZM,MRWY54,lava,5.79,2.03,0.04,1.92,0,0,5.29,0.33,0.32,0.04,0,0,0.05,0,0.69,3.31
35,41.04,11.81,0.13,1.38,10.89,0,0,25.25,2.52,3.2,0.39,0.04,0,0,0.94,96.22,mrwy54_phl3_7 ,ZM,MRWY54,lava,5.75,1.95,0.03,1.95,0,0,5.28,0.4,0.38,0.04,0,0,0.05,0,0.61,3.39
36,41.11,11.96,0.14,1.55,10.8,0.01,0.01,25.19,2.12,2.94,0.31,0.09,0.01,0.04,0.8,95.83,mrwy54_phl3_8 ,ZM,MRWY54,lava,5.8,1.99,0.04,1.94,0,0,5.3,0.34,0.35,0.03,0.01,0,0.04,0,0.69,3.31
37,41.63,11.25,0.14,1.75,10.86,0.04,0,25.51,2.47,3.3,0.35,0.11,0.01,0.02,0.69,96.95,mrwy54_phl3_9 ,ZM,MRWY54,lava,5.82,1.85,0.04,1.94,0,0,5.32,0.39,0.39,0.04,0.01,0,0.04,0,0.77,3.23
40,40.79,11.99,0.12,1.52,10.76,0.02,0.01,25.09,2.16,3.44,0.3,0,0,0.03,0.75,95.9,mrwy54_phl3_12 ,ZM,MRWY54,lava,5.77,2,0.03,1.94,0,0,5.29,0.34,0.41,0.03,0,0,0.04,0,0.68,3.32
41,41.33,11.58,0.13,1.25,10.75,0.03,0.02,24.46,3.75,3.72,0,0,0,0.02,2.72,97.02,mrwy54_phl3_13 ,ZM,MRWY54,lava,5.71,1.89,0.03,1.89,0,0,5.04,0.58,0.43,0,0,0,0.15,0,0.55,3.45
42,41.24,12.02,0.14,1.34,10.72,0.02,0.01,25.51,2.31,3.18,0.04,0,0,0.04,2.45,96.48,mrwy54_phl3_14 ,ZM,MRWY54,lava,5.76,1.98,0.04,1.91,0,0,5.31,0.36,0.37,0,0,0,0.13,0,0.59,3.41
44,42.14,10.41,0.41,1.34,10.72,0.02,0.07,24.18,3.73,3.8,0.02,0,0,0,2.46,96.81,mrwy54_phl3_16 ,ZM,MRWY54,lava,5.84,1.7,0.11,1.9,0,0.01,5,0.58,0.44,0,0,0,0.13,0,0.59,3.41
45,40.81,12.06,0.13,1.48,10.77,0.01,0.01,24.9,2.17,3.76,0.38,0,0,0,0.82,96.09,mrwy54_phl3_17 ,ZM,MRWY54,lava,5.76,2.01,0.03,1.94,0,0,5.24,0.35,0.44,0.04,0,0,0.05,0,0.66,3.34
46,40.95,12.07,0.12,1.82,10.68,0.03,0,24.85,2.22,3.63,0.38,0,0.01,0.02,0.71,96.37,mrwy54_phl3_18 ,ZM,MRWY54,lava,5.77,2.01,0.03,1.92,0,0,5.22,0.35,0.43,0.04,0,0,0.04,0,0.81,3.19
47,41.1,12.41,0.14,1.62,10.84,0.01,0.01,24.72,2.18,2.94,0.37,0.04,0,0,0.81,95.97,mrwy54_phl3_19 ,ZM,MRWY54,lava,5.79,2.06,0.04,1.95,0,0,5.19,0.35,0.35,0.04,0,0,0.04,0,0.72,3.28
48,40.77,12.22,0.18,1.44,10.77,0.03,0.02,24.59,2.39,3.04,0.4,0.08,0.01,0.03,0.73,95.45,mrwy54_phl3_20 ,ZM,MRWY54,lava,5.76,2.04,0.05,1.94,0,0,5.18,0.38,0.36,0.04,0.01,0,0.04,0,0.64,3.36
49,41.14,12.41,0.13,1.63,10.72,0.03,0,24.65,2.34,2.92,0.38,0.01,0,0.07,0.82,95.98,mrwy54_phl3_21 ,ZM,MRWY54,lava,5.78,2.06,0.04,1.92,0,0,5.17,0.37,0.34,0.04,0,0.01,0.04,0,0.72,3.28
50,41.44,12.07,0.14,1.43,10.6,0.02,0.01,24.4,2.34,3.32,0.39,0,0,0.1,0.8,95.77,mrwy54_phl3_22 ,ZM,MRWY54,lava,5.83,2,0.04,1.9,0,0,5.12,0.37,0.39,0.04,0,0.01,0.04,0,0.64,3.36
51,41.01,12.38,0.14,1.35,10.72,0.01,0,24.44,2.27,3.18,0.4,0.09,0,0.13,0.77,95.5,mrwy54_phl3_23 ,ZM,MRWY54,lava,5.78,2.06,0.04,1.93,0,0,5.14,0.36,0.38,0.04,0.01,0.01,0.04,0,0.6,3.4
52,40.77,12.31,0.13,1.43,10.93,0.02,0,24.59,2.22,2.82,0.38,0.05,0.01,0.14,0.84,95.22,mrwy54_phl3_24 ,ZM,MRWY54,lava,5.78,2.06,0.04,1.98,0,0,5.19,0.35,0.33,0.04,0.01,0.01,0.05,0,0.64,3.36
53,41.28,12.33,0.13,1.28,10.89,0.02,0.01,24.74,2.66,3.13,0.38,0.13,0,0.1,0.93,96.46,mrwy54_phl4_1 ,ZM,MRWY54,lava,5.75,2.02,0.03,1.94,0,0,5.14,0.42,0.36,0.04,0.01,0.01,0.05,0,0.56,3.44
54,41.21,11.97,0.14,1.48,10.85,0.03,0,25.18,2.67,2.96,0.36,0.09,0,0.07,0.75,96.49,mrwy54_phl4_2 ,ZM,MRWY54,lava,5.76,1.97,0.04,1.93,0,0,5.24,0.42,0.35,0.04,0.01,0.01,0.04,0,0.65,3.35
55,41.17,12.18,0.13,1.36,10.99,0,0.01,24.92,2.53,3.03,0.33,0.06,0,0.03,1.03,96.32,mrwy54_phl4_3 ,ZM,MRWY54,lava,5.76,2.01,0.03,1.96,0,0,5.2,0.4,0.35,0.04,0.01,0,0.06,0,0.6,3.4
56,41.51,12.14,0.16,1.48,10.97,0.03,0,25.32,2.64,3.14,0.3,0,0,0,0.96,97.39,mrwy54_phl4_4 ,ZM,MRWY54,lava,5.75,1.98,0.04,1.94,0,0,5.23,0.41,0.36,0.03,0,0,0.05,0,0.65,3.35
57,41.75,12.13,0.13,1.53,10.89,0,0,25.1,2.66,3.13,0.31,0.02,0,0,0.9,97.32,mrwy54_phl4_5 ,ZM,MRWY54,lava,5.78,1.98,0.03,1.92,0,0,5.18,0.42,0.36,0.03,0,0,0.05,0,0.67,3.33
58,41.42,12.18,0.12,1.37,10.95,0.02,0,25.19,2.6,3.16,0.26,0.06,0,0,0.84,97.01,mrwy54_phl4_6 ,ZM,MRWY54,lava,5.76,2,0.03,1.94,0,0,5.22,0.41,0.37,0.03,0.01,0,0.05,0,0.6,3.4
59,41.59,11.99,0.16,1.35,11.01,0.01,0,25.03,2.57,3.08,0.24,0.04,0,0,0.64,96.8,mrwy54_phl4_7 ,ZM,MRWY54,lava,5.8,1.97,0.04,1.96,0,0,5.2,0.4,0.36,0.03,0,0,0.03,0,0.6,3.4
60,41.62,12.15,0.14,1.4,10.95,0.01,0,25.24,2.69,3.1,0.22,0,0,0,0.85,97.31,mrwy54_phl4_8 ,ZM,MRWY54,lava,5.77,1.98,0.04,1.94,0,0,5.21,0.42,0.36,0.02,0,0,0.05,0,0.61,3.39
61,41.26,12.24,0.13,1.41,10.86,0.01,0.01,25.03,2.67,3.12,0.21,0,0,0,0.73,96.74,mrwy54_phl4_9 ,ZM,MRWY54,lava,5.76,2.01,0.04,1.93,0,0,5.21,0.42,0.36,0.02,0,0,0.04,0,0.62,3.38
62,40.93,12.15,0.12,1.52,10.91,0.05,0.02,25.29,2.24,3.15,0.19,0,0,0,1.08,96.38,mrwy54_phl4_10 ,ZM,MRWY54,lava,5.75,2.01,0.03,1.96,0.01,0,5.3,0.36,0.37,0.02,0,0,0.06,0,0.68,3.32
63,41.06,12.21,0.14,1.38,10.96,0.01,0.01,25.04,2.54,3.04,0.16,0.03,0,0,1.36,96.39,mrwy54_phl4_11 ,ZM,MRWY54,lava,5.75,2.01,0.04,1.96,0,0,5.22,0.4,0.36,0.02,0,0,0.07,0,0.61,3.39
64,41.6,12.04,0.12,1.65,10.94,0.02,0.01,25.26,2.66,3.11,0.1,0,0.01,0,1.88,97.41,mrwy54_phl4_12 ,ZM,MRWY54,lava,5.77,1.97,0.03,1.93,0,0,5.22,0.42,0.36,0.01,0,0,0.1,0,0.72,3.28
65,41.29,12.19,0.14,1.39,10.83,0.02,0.01,25.44,2.71,3.09,0.05,0,0,0,2.34,97.11,mrwy54_phl4_13 ,ZM,MRWY54,lava,5.72,1.99,0.04,1.91,0,0,5.25,0.42,0.36,0.01,0,0,0.13,0,0.61,3.39
